ID,MATS3p,SM10_AEA(dm),GATS7s,F07[N-O],VE1sign_Dz(v),VE3sign_D/Dt,P_VSA_charge_4,CATS2D_09_DA,B09[O-O],CATS2D_06_DL,SpMAD_EA(ri),P_VSA_charge_7,CATS2D_04_AA,CATS2D_05_DL,H-052,F05[N-N],SpDiam_AEA(ed),VE1sign_B(p),F10[O-O],nN(CO)2,CATS2D_03_DL,GATS6i,CATS2D_05_DA,C-016
Ma_2019_A,0.2230669623390162,0.3824898729028496,0.3907792115745316,0.5,0.3392016476214654,0.4336736036004559,0.0,0.4,0.0,0.0,0.5196842257121244,0.0,0.4285714285714285,0.0,0.0,0.0,0.2433991826483232,0.0,0.0,0.0,0.0,0.0700412360739815,0.5,0.0
Ma_2019_U,0.2184087339634914,0.2708500975333039,0.5898446623111959,0.0,0.0972426908571906,0.7700769153867477,0.0,0.2,1.0,0.25,0.609883588469442,0.0,0.4285714285714285,0.3333333333333333,0.0,0.0,0.1774261625927859,0.9748922579419111,0.0,1.0,0.0,0.1387815212975693,0.5,1.0
Ma_2019_C,0.1892422425600897,0.2708500975333039,0.4624487729839763,0.1666666666666666,0.0815775940669617,0.7700769153867477,0.359388883796882,0.2,0.0,0.25,0.435655745863821,0.2062111714471989,0.2857142857142857,0.3333333333333333,0.0,0.0,0.1774261625927859,0.8318908694475862,0.0,0.0,0.0,0.3277392133841514,0.5,1.0
Ma_2019_G,0.307924023430828,0.3905164945849937,0.3653019177243406,0.5,0.2591533994183799,0.5082320846714461,0.359388883796882,0.6000000000000001,1.0,0.0,0.7110671738888499,0.0,0.5714285714285714,0.0,0.0,0.2,0.2429666025366241,0.6473716120675506,0.0,0.0,0.0,0.262949727486724,0.6666666666666666,0.0
Ma_2019_dA,0.2779256936905553,0.2909881191939933,0.5823341401480309,0.1666666666666666,0.4040321126066009,0.4573162167016147,0.0,0.4,0.0,0.25,0.5093747840953942,0.0,0.4285714285714285,0.0,0.0,0.0,0.177256538496227,0.0972908845304191,0.0,0.0,0.0,0.2315860726434238,0.0,0.0
Ma_2019_T,0.0,0.0703004472536905,0.688402074695287,0.0,0.230066625093809,0.7711726098496939,0.0,0.2,1.0,0.25,0.8291885138749517,0.1920439197274817,0.4285714285714285,0.0,0.0,0.0,0.0240164805493336,0.6100715283606648,0.0,1.0,0.5,0.0537429648733454,0.0,0.0
Ma_2019_dC,0.2449145144055867,0.0416614316857018,0.7916162050032969,0.0,0.146089393699096,0.7870892449993849,0.359388883796882,0.2,0.0,0.5,0.3414967524808681,0.2062111714471989,0.2857142857142857,0.0,0.0,0.0,0.0054579537898322,1.0,0.0,0.0,0.0,0.5801773256712872,0.0,1.0
Ma_2019_dG,0.364243997938026,0.3052554300710746,0.7490423305347822,0.1666666666666666,0.3293966169734632,0.5398017834983183,0.359388883796882,0.6000000000000001,1.0,0.5,0.7144473976595975,0.0,0.5714285714285714,0.0,0.0,0.2,0.1816015015794327,0.7669530182575719,0.0,0.0,0.0,0.4254527220225093,0.1666666666666666,0.0
Zhao_2016_1,0.2376742386014982,0.3905164945849937,0.409549200864391,0.5,0.2276874104462435,0.5082320846714442,0.359388883796882,0.6000000000000001,1.0,0.0,0.7103974233300683,0.0,0.4285714285714285,0.0,0.0,0.0,0.2429666025366184,0.8361430169176762,0.0,0.0,0.0,0.1363612280674373,0.5,0.0
Zhao_2016_2,0.290732133081199,0.3052554300710746,0.8124432876118755,0.1666666666666666,0.30143360443586,0.5398017834983104,0.359388883796882,0.6000000000000001,1.0,0.5,0.7136900950323266,0.0,0.4285714285714285,0.0,0.0,0.0,0.1816015015794327,0.9137057305192532,0.0,0.0,0.0,0.2944162409286095,0.0,0.0
