cid,Probability of nongelator,Probability of gelator
445132,0.31669644276857056,0.6833035572314294
92252368,0.31975811287832256,0.6802418871216774
21826754,0.31975811287832256,0.6802418871216774
131876227,0.3236284349819677,0.6763715650180323
293725,0.3402779499509688,0.6597220500490312
25075887,0.3402779499509688,0.6597220500490312
25075886,0.3465964290991582,0.6534035709008418
137202792,0.34948933194623044,0.6505106680537696
6323540,0.3533034900285211,0.6466965099714789
5698,0.3533034900285211,0.6466965099714789
136927403,0.35403054329223305,0.645969456707767
135625234,0.35403054329223305,0.645969456707767
135460966,0.35403054329223305,0.645969456707767
3036471,0.35418333778747,0.64581666221253
1190,0.35691920012894207,0.6430807998710579
73323,0.35691920012894207,0.6430807998710579
122280,0.35691920012894207,0.6430807998710579
5271259,0.35893017495087687,0.6410698250491231
448231,0.36021035581485006,0.6397896441851499
135567131,0.3619122720536617,0.6380877279463383
54235934,0.36287437429398417,0.6371256257060158
45052491,0.36298785935583466,0.6370121406441653
448782,0.36298785935583466,0.6370121406441653
54237496,0.36298785935583466,0.6370121406441653
3081517,0.36344592189671887,0.6365540781032811
150959,0.3657447246096339,0.6342552753903661
92264349,0.3662900608218951,0.6337099391781049
512869,0.3662900608218951,0.6337099391781049
145681,0.3663800081658992,0.6336199918341008
169295,0.3668609356777758,0.6331390643222242
439424,0.36700042805926314,0.6329995719407369
515216,0.3686376129231179,0.6313623870768821
440416,0.3692761487011952,0.6307238512988048
91669385,0.36989035202451725,0.6301096479754827
3081384,0.370142264068689,0.629857735931311
16721025,0.37032554629251346,0.6296744537074865
54443874,0.37038009035033437,0.6296199096496656
150856,0.37139913121451196,0.628600868785488
136229819,0.3720256450468521,0.6279743549531479
8642,0.37212154836089006,0.6278784516391099
449405,0.37212154836089006,0.6278784516391099
188276,0.3728653791396237,0.6271346208603763
71374245,0.372968657195924,0.627031342804076
10859187,0.3747696077876759,0.6252303922123241
499785,0.37546708886194025,0.6245329111380598
20584074,0.3754885252612631,0.6245114747387369
