ID,VE3sign_D/Dt,SpMax_AEA(ri),GATS7s,MATS3v,F07[N-O],MATS6p,CATS2D_06_DL,SpDiam_AEA(ed),P_VSA_charge_7,MATS3m,CATS2D_09_DA,VE1sign_Dz(v),H-052,B09[O-O],F05[N-N],P_VSA_charge_4,CATS2D_04_AA,P_VSA_charge_13,CATS2D_05_DL,SpMAD_AEA(dm),SM5_X,SpMAD_EA(ri),MATS2p,IC1,GATS2p,GATS3s,MATS6i,CATS2D_03_DL,GATS6i,C-016,GATS8e,VE1sign_B(p),CATS2D_08_DA,F10[O-O]
Ma_2019_A,0.4336736036004559,0.4671265313108854,0.3914450179290074,0.3448506537373346,0.5,0.5969544715140896,0.0,0.2433991826483232,0.0,0.5237436104752868,0.4,0.3392016476214654,0.0,0.0,0.0,0.0,0.4285714285714285,0.0,0.0,0.4251541268792982,0.3130314090026107,0.5196842257121244,0.7869987454371742,0.6570557019806644,0.3131933932689059,0.3355277324395298,0.636536559451797,0.0,0.0700412360739815,0.0,0.5012818033157997,0.0,0.4,0.0
Ma_2019_U,0.7700769153867477,0.3532377761532208,0.5908496347168111,0.3816632971654029,0.0,0.324392936808459,0.25,0.1774261625927859,0.0,0.3264013032209997,0.2,0.0972426908571906,0.0,1.0,0.0,0.0,0.4285714285714285,0.5,0.3333333333333333,0.5571178094614222,0.0466463064142469,0.609883588469442,0.3016949910137152,0.5873153826409081,0.7303716392023896,0.4065310171149023,0.4192926414705212,0.0,0.1387815212975693,1.0,0.9583532575813278,0.9748922579419111,0.2,0.0
Ma_2019_C,0.7700769153867477,0.351775670311194,0.4632366893381541,0.3543754623188052,0.1666666666666666,0.2134953896493018,0.25,0.1774261625927859,0.2062111714471989,0.4001389125719009,0.2,0.0815775940669617,0.0,0.0,0.0,0.359388883796882,0.2857142857142857,0.0,0.3333333333333333,0.447427242742509,0.0466463064142469,0.435655745863821,0.4297658932499844,0.6469408803304231,0.685902862715507,0.2752749600977082,0.3374748201212493,0.0,0.3277392133841514,1.0,0.4610060775463247,0.8318908694475862,0.2,0.0
Ma_2019_G,0.5082320846714461,0.4924210631164536,0.3659243160784984,0.4639423695311686,0.5,0.2614180200298558,0.0,0.2429666025366241,0.0,0.4061378647481743,0.6000000000000001,0.2591533994183799,0.0,1.0,0.2,0.359388883796882,0.5714285714285714,0.5,0.0,0.5663457429606273,0.3130314090026107,0.7110671738888499,0.6232341575092863,0.7944060685210652,0.4972241766985297,0.3984630185012396,0.58771307702846,0.0,0.262949727486724,0.0,0.8597334795825089,0.6473716120675506,0.6000000000000001,0.0
Ma_2019_dA,0.4573162167016147,0.3446374408855872,0.5833263161887587,0.4287498192226666,0.1666666666666666,0.4253627019332157,0.25,0.177256538496227,0.0,0.3676380181494691,0.4,0.4040321126066009,0.0,0.0,0.0,0.0,0.4285714285714285,0.0,0.0,0.3290938782221904,0.3970965979805396,0.5093747840953942,0.7897164259279434,0.6899196027493715,0.2493917178387406,0.4127082450101187,0.5448698891003615,0.0,0.2315860726434238,0.0,0.1928142917400472,0.0972908845304191,0.4,0.0
Ma_2019_T,0.7711726098496939,0.1806584472565138,0.689574968396361,0.1253777094669081,0.0,0.5437111123844454,0.25,0.0240164805493336,0.1920439197274817,0.1670673930797726,0.2,0.230066625093809,0.0,1.0,0.0,0.0,0.4285714285714285,0.5,0.0,0.6799705132960234,0.1379386792314491,0.8291885138749517,0.6626395770492178,0.5405539105704964,0.4379195753511187,0.4022206272569233,0.5980506405359994,0.5,0.0537429648733454,0.0,0.8429985813135643,0.6100715283606648,0.2,0.0
Ma_2019_dC,0.7870892449993849,0.0991464576345686,0.7929649540769068,0.4212367572935696,0.0,0.0,0.5,0.0054579537898322,0.2062111714471989,0.2114059957527928,0.2,0.146089393699096,0.0,0.0,0.0,0.359388883796882,0.2857142857142857,0.0,0.0,0.4132640960780618,0.1379386792314393,0.3414967524808681,0.4293528955021897,0.683940571125857,0.6090856174581787,0.3097888614382871,0.1907935406312459,0.0,0.5801773256712872,1.0,0.0,1.0,0.2,0.0
Ma_2019_dG,0.5398017834983183,0.3906104064212616,0.750318542596913,0.5485585986096666,0.1666666666666666,0.0663710479791629,0.5,0.1816015015794327,0.0,0.2691054194580168,0.6000000000000001,0.3293966169734632,0.0,1.0,0.2,0.359388883796882,0.5714285714285714,0.5,0.0,0.5287446954952797,0.3970965979805364,0.7144473976595975,0.6228073241113407,0.8295774806846721,0.4325601995516943,0.4514159941850595,0.5005942894244322,0.0,0.4254527220225093,0.0,0.2400413902765685,0.7669530182575719,0.6000000000000001,0.0
Zhao_2016_2,0.5398017834983104,0.3807779748177902,0.8138275216947572,0.4644396538029575,0.1666666666666666,0.377965990009649,0.5,0.1816015015794327,0.0,0.2896137404048761,0.6000000000000001,0.30143360443586,0.0,1.0,0.0,0.359388883796882,0.4285714285714285,0.0,0.0,0.5429037581766156,0.3970965979805428,0.7136900950323266,0.6765508407450799,0.7870998798649111,0.399367307854459,0.3401391258750088,0.5166073152965506,0.0,0.2944162409286095,0.0,0.2400413902765665,0.9137057305192532,0.6000000000000001,0.0
Zhao_2016_3,0.5082320846714442,0.4820842255956616,0.3605389396785747,0.4153116245091184,0.1666666666666666,0.3515091018153473,0.0,0.2429666025366184,0.0,0.4086398084713715,0.6000000000000001,0.2325068587189073,0.0,1.0,0.0,0.359388883796882,0.4285714285714285,0.0,0.0,0.6194663927780804,0.3130314090025884,0.6567760155189077,0.6654894244697969,0.8750648202307945,0.4058063807726109,0.4311466026249515,0.1607786815825962,0.0,0.5191335610411532,0.0,0.8432468970773221,0.8288765151796615,0.6000000000000001,0.0
