ID,PCA1,PCA2,GEL,Kmeans,Full Name,Chemdraw_smiles,ID_index,Code,Group
Skilling_2018_5b,1.9006371107980864,0.0870206479847231,Nongelator,2,Nongelator 2,O=C1N([C@@H]2O[C@@H]([C@H](C2(F)F)O)CO)C=CC(NC(OCCCC)=O)=N1,33,5,Train
Skilling_2018_5c,1.745826673576911,-0.1343618139359164,Nongelator,2,Nongelator 2,O=C1N([C@@H]2O[C@@H]([C@H](C2(F)F)O)CO)C=CC(NC(OCC(C)C)=O)=N1,34,5,Train
Skilling_2018_6a,2.123644608822633,0.3290481271387648,Nongelator,2,Nongelator 2,O=C1N([C@@H]2O[C@@H]([C@H](C2(F)F)O)CO)C=CC(NC(NCCCCCCCCCCCCCC)=O)=N1,35,5,Train
Skilling_2018_6c,2.05406404289039,0.3345772626464878,Nongelator,2,Nongelator 2,O=C1N([C@@H]2O[C@@H]([C@H](C2(F)F)O)CO)C=CC(NC(NCCCCCCCC)=O)=N1,37,5,Train
Skilling_2018_6d,2.0076513051737184,0.3378574013349025,Nongelator,2,Nongelator 2,O=C1N([C@@H]2O[C@@H]([C@H](C2(F)F)O)CO)C=CC(NC(NCCCCCC)=O)=N1,38,5,Train
Skilling_2018_6e,1.860045164157409,0.1742721147171207,Nongelator,2,Nongelator 2,O=C1N([C@@H]2O[C@@H]([C@H](C2(F)F)O)CO)C=CC(NC(NCCCC)=O)=N1,39,5,Train
Nuthanakanti_2020_3a,-0.1337647893075932,0.9340861351329276,Nongelator,0,Nongelator 0,O[C@@H]1[C@@H]([C@H](O[C@H]1N(C=C2C)C(NC2=O)=O)COC(CCCCCCCCCCC)=O)O,40,3,Train
Nuthanakanti_2020_3b,-0.1100686680005209,0.9350954688488968,Gelator,0,Gelator 0,O[C@@H]1[C@@H]([C@H](O[C@H]1N(C=C2C)C(NC2=O)=O)COC(CCCCCCCCCCCCC)=O)O,41,0,Train
Nuthanakanti_2020_3c,-0.0912180920878808,0.9353706290408916,Gelator,0,Gelator 0,O[C@@H]1[C@H](O)[C@@H](COC(CCCCCCCCCCCCCCC)=O)O[C@H]1N(C(N2)=O)C=C(C)C2=O,42,0,Train
Nuthanakanti_2020_4a,0.1012920676795297,0.9887520816323564,Nongelator,0,Nongelator 0,O[C@@H]1[C@H](O)[C@@H](COC(CCCCCCCCCCC)=O)O[C@H]1N(C(N2)=O)C=CC2=O,43,3,Train
