,Statistics,Pvalues
VE3sign_D/Dt,3.3679043969493185,0.0007574185574210733
VE2sign_D/Dt,3.2200451795222755,0.001281703953699273
SpMax_AEA(ri),3.08861476403157,0.0020109200851239134
GATS7s,-3.08861476403157,0.0020109200851239134
Eig01_AEA(ri),3.08861476403157,0.0020109200851239134
Eig01_EA(ed),3.080400363063401,0.002067225079354176
SM10_AEA(dm),3.080400363063401,0.002067225079354176
SpMax_EA(ed),3.080400363063401,0.002067225079354176
MATS3v,3.072185962095232,0.0021249729652068066
SM12_EA(ed),3.063971561127063,0.0021841967224136664
SM09_EA(ed),3.055757160158894,0.0022449299718644046
MATS3p,3.055757160158894,0.0022449299718644046
SpDiam_AEA(ri),3.047542759190725,0.0023072069850781866
SM13_EA(ed),3.031113957254387,0.002436532699292407
SM11_EA(ed),3.031113957254387,0.002436532699292407
SM15_EA(ed),3.031113957254387,0.002436532699292407
F07[N-O],-3.031113957254387,0.002436532699292407
SM14_EA(ed),3.0146851553180487,0.0025724614136740684
SM10_EA(ed),2.9982563533817106,0.0027152917034584233
GATS3v,-2.924326744668189,0.00345202185953705
Eig01_EA,2.91611234370002,0.0035442285623747045
SpMax_EA,2.91611234370002,0.0035442285623747045
SM09_AEA(bo),2.91611234370002,0.0035442285623747045
SpDiam_EA(ed),2.91611234370002,0.0035442285623747045
SpDiam_EA,2.9078979427318505,0.0036386706491401263
SM15_AEA(ed),2.9078979427318505,0.0036386706491401263
SM08_EA(ed),2.8668259378910053,0.004146109784770853
VE1sign_D/Dt,2.842182734986498,0.004480580191052679
SM15_EA,2.833968334018329,0.004597388735274032
SpDiam_AEA(bo),2.82575393305016,0.004716948389053948
SpMax_AEA(ed),2.817539532081991,0.004839315690207551
Eig01_AEA(ed),2.817539532081991,0.004839315690207551
MATS6p,2.7600387253048075,0.0057794510257808355
GATS3p,-2.7436099233684694,0.006076769923795485
SM07_EA(ed),2.702537918527624,0.006881233510459786
SM13_EA,2.694323517559455,0.007053166747779627
SM14_AEA(ed),2.694323517559455,0.007053166747779627
SM14_EA,2.686109116591286,0.007228947655240983
SM13_AEA(ed),2.6368227107822713,0.008368655682776976
CATS2D_06_DL,2.628608309814102,0.00857350485279627
SpDiam_AEA(ed),2.612179507877764,0.008996700159511775
P_VSA_charge_7,2.603965106909595,0.009215213810393632
F05[N-O],-2.587536304973257,0.00966650085519109
MATS3m,2.5464643001324117,0.010882034165831528
CATS2D_09_DA,-2.5464643001324117,0.010882034165831528
VE1sign_Dz(v),2.5300354981960735,0.011405098710381992
MATS3i,2.5300354981960735,0.011405098710381992
Eig01_AEA(bo),2.4889634933552283,0.012811612036996201
SpMax_AEA(bo),2.4889634933552283,0.012811612036996201
GATS7e,-2.480749092387059,0.013110662372655155
VE2sign_Dz(m),2.480749092387059,0.013110662372655155
MATS3s,2.464320290450721,0.013727338234715246
VE2sign_Dz(Z),2.464320290450721,0.013727338234715246
CATS2D_05_AA,-2.464320290450721,0.013727338234715246
H-052,2.464320290450721,0.013727338234715246
SpMax_A,2.456105889482552,0.014045176526608059
VE1sign_Dz(i),2.447891488514383,0.014369492433659826
B09[O-O],-2.447891488514383,0.014369492433659826
VE3sign_Dz(Z),2.431462686578045,0.01503799716899452
VE3sign_Dz(m),2.431462686578045,0.01503799716899452
F05[N-N],-2.431462686578045,0.01503799716899452
P_VSA_charge_4,2.431462686578045,0.01503799716899452
VE1sign_Dz(m),2.4150338846417068,0.01573374591670665
GATS3m,-2.4150338846417068,0.01573374591670665
GATS3i,-2.398605082705368,0.016457653561265776
VE1sign_Dz(Z),2.398605082705368,0.016457653561265776
CATS2D_04_AA,-2.398605082705368,0.016457653561265776
SM06_EA(ed),2.390390681737199,0.0168304587535356
SM12_AEA(ed),2.373961879800861,0.01759836725818521
SM12_EA,2.341104275928185,0.019226796259631976
P_VSA_charge_13,-2.341104275928185,0.019226796259631976
SM05_EA(ed),2.341104275928185,0.019226796259631976
VE2sign_Dz(e),2.3328898749600158,0.019653925925484435
SM11_EA,2.3164610730236777,0.02053310749009436
SpMax_EA(ri),2.3082466720555086,0.020985420645438096
Eig01_EA(ri),2.3082466720555086,0.020985420645438096
SM10_EA,2.3082466720555086,0.020985420645438096
CATS2D_05_DL,2.2918178701191705,0.021916155051570085
VE1sign_Dz(e),2.2671746672146633,0.02337955771718256
VE3sign_Dz(e),2.2671746672146633,0.02337955771718256
SM09_EA,2.2589602662464943,0.023885856595704875
SM09_AEA(ed),2.242531464310156,0.024927044113953436
SM10_AEA(ed),2.242531464310156,0.024927044113953436
SM11_AEA(ed),2.242531464310156,0.024927044113953436
SpMAD_AEA(dm),-2.226102662373818,0.026007305658664805
MATS3e,2.217888261405649,0.026562452084442117
SM5_X,-2.20967386043748,0.02712780514968551
SpMAD_EA(ri),-2.20967386043748,0.02712780514968551
MATS2p,-2.201459459469311,0.027703513660649964
IC1,-2.1850306575329728,0.02888659881520363
F09[O-O],-2.1768162565648037,0.02949427962141912
GATS6p,-2.135744251723958,0.03270026535159858
GATS2p,2.11931544978762,0.034063816835939224
SM08_AEA(ed),2.111101048819451,0.034763627315136145
GATS3s,-2.1028866478512818,0.03547567927591403
MATS6i,2.1028866478512818,0.03547567927591403
CATS2D_03_DL,2.0946722468831127,0.03620013796798089
VE2sign_Dz(v),2.0864578459149437,0.03693716983149838
GATS6i,-2.0864578459149437,0.03693716983149838
P_VSA_charge_2,-2.0864578459149437,0.03693716983149838
Eta_sh_y,-2.0700290439786055,0.03844962470555834
C-016,2.0700290439786055,0.03844962470555834
