,DT,LR,RF,XGB
Accuracy_test,0.6,0.6666666666666666,0.5333333333333333,0.6
F1 Score,0.6666666666666665,0.761904761904762,0.5882352941176471,0.5714285714285715
Precision,0.75,1.0,0.625,0.5
Recall,0.6,0.6153846153846154,0.5555555555555556,0.6666666666666666
Roc_auc,0.6,0.8076923076923077,0.5277777777777778,0.6111111111111112
