,Statistics,Pvalues,Difference_mean,Log_P
Wi_Dz(i),0.08070002078437537,0.9356805202884368,0.9262789442465144,0.06648118524716891
WiA_Dz(i),0.1037571695799112,0.9173620566705083,0.8854638437100396,0.0862530573097723
AVS_Dz(i),0.13834289277321493,0.8899694278639254,0.8973475173439992,0.1165681675606414
H_Dz(i),0.02305714879553582,0.9816046868975358,1.0493304261500402,0.018566610843843666
Chi_Dz(i),-0.1152857439776791,0.9082186376756121,1.1757889174424285,0.09627013897455404
ChiA_Dz(i),-0.02305714879553582,0.9816046868975358,1.1828413666725357,0.018566610843843666
J_Dz(i),1.0260431214013441,0.30487125873442045,0.9576010680780923,1.1878656939951635
HyWi_Dz(i),0.14987146717098285,0.8808660233255833,0.9634568580432865,0.12684973802052568
SpAbs_Dz(i),0.14987146717098285,0.8808660233255833,0.8833318336650843,0.12684973802052568
SpPos_Dz(i),0.17292861596651865,0.8627075382114653,0.8834767027190285,0.14767953500864384
SpPosA_Dz(i),0.14987146717098285,0.8808660233255833,0.8921684768728757,0.12684973802052568
SpPosLog_Dz(i),0.14987146717098285,0.8808660233255833,0.9725123933565862,0.12684973802052568
SpMax_Dz(i),0.18445719036428657,0.8536548079975348,0.8827717272782083,0.15822837299874926
SpMaxA_Dz(i),0.17292861596651865,0.8627075382114653,0.892160541536043,0.14767953500864384
SpDiam_Dz(i),0.1037571695799112,0.9173620566705083,0.8548091584454071,0.0862530573097723
SpAD_Dz(i),0.18445719036428657,0.8536548079975348,0.8828545523520485,0.15822837299874926
SpMAD_Dz(i),0.16140004156875074,0.871778333934971,0.8918238533333085,0.1372200915915374
Ho_Dz(i),0.5649001454906276,0.5721416847255629,0.9421882125895357,0.5583686177058942
EE_Dz(i),0.18445719036428657,0.8536548079975348,0.8827717272782083,0.15822837299874926
SM1_Dz(i),1.3949575021299172,0.16302865537525368,0.9844874617561269,1.813829293778175
SM2_Dz(i),0.1152857439776791,0.9082186376756121,0.9648769452631513,0.09627013897455404
SM3_Dz(i),0.21904291355759029,0.826616619185554,0.9658540796222965,0.19041427163171545
SM4_Dz(i),0.14987146717098285,0.8808660233255833,0.9649387013126732,0.12684973802052568
SM5_Dz(i),0.18445719036428657,0.8536548079975348,0.9653747037660493,0.15822837299874926
SM6_Dz(i),0.17292861596651865,0.8627075382114653,0.9651430121062607,0.14767953500864384
VE1_Dz(i),0.13834289277321493,0.8899694278639254,1.035147569250581,0.1165681675606414
VE2_Dz(i),-0.2305714879553582,0.8176477201105937,1.0444711901796877,0.20132369515154502
VE3_Dz(i),0.17292861596651865,0.8627075382114653,1.0262546975065845,0.14767953500864384
VE1sign_Dz(i),3.124243661795104,0.0017826277032081078,0.8051362539897747,6.329666765488546
VE2sign_Dz(i),2.8936721738397457,0.0038076547274538265,0.7996737938002707,5.570741836475315
VE3sign_Dz(i),2.7783864298620666,0.005462960665370293,1.2046937572315772,5.209764389782965
VR1_Dz(i),0.03458572319330373,0.9724100859310765,1.057404124967386,0.027977664390055463
VR2_Dz(i),-1.7062290108696507,0.08796544931344001,1.0034694853458803,2.4308111630380895
VR3_Dz(i),0.14987146717098285,0.8808660233255833,1.019438423090446,0.12684973802052568
Wi_B(m),0.1152857439776791,0.9082186376756121,1.061255599955792,0.09627013897455404
WiA_B(m),-0.19598576476205448,0.8446213080048428,1.0391601236166086,0.16886690828425613
AVS_B(m),-1.3027289069477739,0.1926673295075274,1.007734608324422,1.646790258633299
Chi_B(m),0.06917144638660747,0.944853151135727,1.0218598785385917,0.056725759187114505
ChiA_B(m),1.1067431421857195,0.26840499703722065,0.9891142339580256,1.3152582561845205
J_B(m),0.8531145054348254,0.3935958081601312,0.7241315121441585,0.9324307638604171
HyWi_B(m),0.05764287198883955,0.9540330995169046,1.0292385816253982,0.047056912625343617
SpAbs_B(m),0.1037571695799112,0.9173620566705083,1.091073219308711,0.0862530573097723
SpPos_B(m),0.06917144638660747,0.944853151135727,1.0870453593294895,0.056725759187114505
