cid,Iso_smiles,Type
261450,CC1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N,Adenosine
261564,CC1CC(C(O1)N2C=NC3=C(N=CN=C32)N)O,Adenosine
262974,CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)N,Adenosine
265287,CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)N)O,Adenosine
266223,CC1=C2C(=NC=N1)N(C=N2)C3CC(C(O3)CO)O,Adenosine
266234,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CN)O)O)N,Adenosine
266348,COCN1C=NC2=C(C1=O)C=CN2C3C(C(C(O3)CO)O)O,Adenosine
266482,CSC1=NC(=NC2=C1N=CN2C3C(CC(O3)CO)O)N,Adenosine
267352,CN(C)C1=NC(=NC2=C1N=CN2C3C(CC(O3)CO)O)N,Adenosine
267645,C1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)CO,Adenosine
268420,C1=CC(OC1CO)N2C=NC3=C(N=CN=C32)N,Adenosine
269843,C1C(C(COC1N2C=NC3=C(N=CN=C32)N)O)O,Adenosine
272931,CNC1=C2C(=NC(=N1)F)N(C=N2)C3C(C(C(O3)CO)O)O,Adenosine
273017,CNC1=C2C(=NC(=N1)N)N(C(=N2)Cl)C3C(C(C(O3)CO)O)O,Adenosine
276156,CC1C(C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O)O,Adenosine
276394,CC1=CC2=C(C=C1C)N(C(=N2)N)C3C(C(C(O3)CO)O)O,Adenosine
276398,CC1=CC2=C(C=C1C)N(C(=N2)OC)C3C(C(C(O3)CO)O)O,Adenosine
277139,C1=NC2=C(N=NN=C2N1C3C(C(C(O3)CO)O)O)N,Adenosine
278402,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)CO)O)N,Adenosine
278404,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)C(CO)O)CO)O)N,Adenosine
278758,C1=CC(OC(C1O)CO)N2C=NC3=C(N=CN=C32)N,Adenosine
278931,CNC1C(OC(C1O)N2C=NC3=C(N=CN=C32)N)CO,Adenosine
280444,CC1C(C(C(O1)N2C=NC3=C(N=C(N=C32)F)N)O)O,Adenosine
282696,CC1=C(N=C2C(=N1)N=CN2C3C(C(C(O3)CO)O)O)C,Adenosine
282734,C1=C(C2=C(N=CN=C2N1C3C(C(C(O3)CO)O)O)NN)C#N,Adenosine
286481,COC(=O)C1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O,Adenosine
287101,CC1(OC2C(O1)C(OC2C(=O)NO)N3C=NC4=C(N=CN=C43)N)C,Adenosine
287302,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)C(=O)NO)O)O)N,Adenosine
289971,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CF)O)O)N,Adenosine
295521,CC(C(=O)O)N=C1N=C(C=CN1C2C(C(C(O2)CO)O)O)N,Adenosine
296233,C1=NC2=C(N=C(N=C2N1C3C(C(C(O3)CCl)O)O)Cl)N,Adenosine
299952,CC(=O)NC1C(OC(C1O)N2C=NC3=C(N=C(N=C32)Cl)N)CO,Adenosine
301046,CC1C(C(C(O1)OC)N2C=NC3=C(N=CN=C32)N)O,Adenosine
324309,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)Cl)N,Adenosine
326808,CC1C(C(C(O1)N2C=C(C3=C(N=CN=C32)N)C(=O)N)O)O,Adenosine
330549,C1C(C(OC1N2C=NC3=C(NC(=O)N=C32)N)CO)O,Adenosine
333596,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)C(=O)N,Adenosine
333691,C(C1C(C(C(O1)N2C3=NC(=NC(=C3N=N2)N)F)O)O)O,Adenosine
334830,C1=NC(=C2C(=N1)N(C(=N2)F)C3C(C(C(O3)CO)O)O)N,Adenosine
