ID,MATS3p,SM10_AEA(dm),GATS7s,F07[N-O],VE1sign_Dz(v),VE3sign_D/Dt,P_VSA_charge_4,CATS2D_09_DA,B09[O-O],CATS2D_06_DL,SpMAD_EA(ri),SM5_X,P_VSA_charge_7,CATS2D_04_AA,CATS2D_05_DL,H-052,CATS2D_09_AA,F05[N-N],SpDiam_AEA(ed),VE1sign_B(p),MATS3m,F10[O-O],P_VSA_LogP_5,Eig04_AEA(bo),nN(CO)2,CATS2D_03_DL,s2_numRotBonds,P_VSA_LogP_4,Mv,IC1,MATS2m,MATS2p,GATS6i,P_VSA_charge_2,Eig03_AEA(ed),CATS2D_05_DA,GATS2p,C-016,s2_pathLength,GATS8i
Ma_2019_A,0.22306696233901624,0.38248987290284964,0.39077921157453166,0.5,0.33920164762146543,0.4336736036004559,0.0,0.4,0.0,0.0,0.5196842257121244,0.31303140900262016,0.0,0.4285714285714285,0.0,0.0,0.14285714285714285,0.0,0.24339918264832328,0.0,0.6690199196634175,0.0,0.1754818101017782,0.0368993455518245,0.0,0.0,0.14285714285714285,0.41563814985284137,0.6262469847095984,0.6570557019806644,0.13614802463703465,0.7914779816047085,0.0700412360739815,0.01576147254530547,0.5804228813592482,0.5,0.3048950019013552,0.0,0.09090909090909083,0.5864794764340462
Ma_2019_U,0.2184087339634914,0.2708500975333039,0.5898446623111959,0.0,0.09724269085719053,0.7700769153867477,0.0,0.2,1.0,0.25,0.609883588469442,0.046646306414260014,0.0,0.4285714285714285,0.3333333333333333,0.0,0.14285714285714285,0.0,0.17742616259278599,0.9748922579419113,0.5330113332798048,0.0,0.0,0.05013184806307924,1.0,0.0,0.14285714285714285,0.20153420028495383,0.5554900282231205,0.5873153826409081,0.028067376681546685,0.3163797545313834,0.13878152129756938,0.38409962528465624,0.20095049390364794,0.5,0.711019667429929,1.0,0.09090909090909083,0.0
Ma_2019_C,0.1892422425600897,0.2708500975333039,0.46244877298397635,0.16666666666666666,0.08157759406696165,0.7700769153867477,0.359388883796882,0.2,0.0,0.25,0.43565574586382105,0.046646306414260014,0.20621117144719892,0.2857142857142857,0.3333333333333333,0.0,0.0,0.0,0.17742616259278599,0.8318908694475862,0.5838313938672196,0.0,0.2326327924959686,0.05162623333663818,0.0,0.0,0.14285714285714285,0.0,0.46075644597293053,0.6469408803304231,0.15780937294296568,0.44175743405174484,0.32773921338415146,0.02593016451001868,0.20095049390364794,0.5,0.6677291383737245,1.0,0.09090909090909083,0.48515475951721054
Ma_2019_G,0.307924023430828,0.3905164945849937,0.3653019177243406,0.5,0.2591533994183799,0.5082320846714461,0.359388883796882,0.6000000000000001,1.0,0.0,0.7110671738888499,0.31303140900262016,0.0,0.5714285714285714,0.0,0.0,0.14285714285714285,0.2,0.24296660253662417,0.6473716120675506,0.5879658798607704,0.0,0.32942161857093333,0.5116333587838695,0.0,0.0,0.14285714285714285,0.289629053740691,0.6503316158037196,0.7944060685210652,0.22402043514054296,0.6311572244031394,0.26294972748672407,0.37393093331994315,0.5877000714043232,0.6666666666666666,0.4840496943999524,0.0,0.09090909090909083,0.6078285511668826
Ma_2019_dA,0.2779256936905553,0.29098811919399337,0.5823341401480309,0.16666666666666666,0.4040321126066009,0.4573162167016147,0.0,0.4,0.0,0.25,0.5093747840953942,0.39709659798054797,0.0,0.4285714285714285,0.0,0.0,0.14285714285714285,0.0,0.17725653849622702,0.09729088453041912,0.5614317332566744,0.0,0.1754818101017782,0.031753470524074956,0.0,0.0,0.0,0.41563814985284137,0.6006085064481246,0.6899196027493715,0.230460947011479,0.7941385115741297,0.2315860726434238,0.01576147254530547,0.5364211799309748,0.0,0.2427838195786558,0.0,0.1515151515151527,0.6584169830871665
Ma_2019_T,0.0,0.07030044725369056,0.688402074695287,0.0,0.23006662509380899,0.7711726098496939,0.0,0.2,1.0,0.25,0.8291885138749517,0.137938679231461,0.19204391972748178,0.4285714285714285,0.0,0.0,0.14285714285714285,0.0,0.024016480549333696,0.6100715283606648,0.4231981858468127,0.0,0.04414928908682607,0.10976621233821415,1.0,0.5,0.0,0.20153420028495383,0.4303811698873714,0.5405539105704964,0.4117359821791693,0.6697339813102505,0.0537429648733454,0.38409962528465624,0.4900570111499869,0.0,0.4263164314091421,0.0,0.1515151515151527,0.3360662870421607
Ma_2019_dC,0.2449145144055867,0.0416614316857018,0.7916162050032969,0.0,0.14608939369909596,0.7870892449993849,0.359388883796882,0.2,0.0,0.5,0.3414967524808681,0.13793867923145112,0.20621117144719892,0.2857142857142857,0.0,0.0,0.0,0.0,0.0054579537898322705,1.0,0.4537564110732543,0.0,0.2326327924959686,0.025648054523450536,0.0,0.0,0.0,0.0,0.4276432264955998,0.683940571125857,0.24127048206142343,0.4413531212971574,0.5801773256712872,0.02593016451001868,0.07457709797819234,0.0,0.5929472475607191,1.0,0.1515151515151527,0.4877973436012488
Ma_2019_dG,0.364243997938026,0.3052554300710746,0.7490423305347822,0.16666666666666666,0.3293966169734632,0.5398017834983183,0.359388883796882,0.6000000000000001,1.0,0.5,0.7144473976595975,0.39709659798054475,0.0,0.5714285714285714,0.0,0.0,0.14285714285714285,0.2,0.18160150157943278,0.7669530182575719,0.49352293231486777,0.0,0.32942161857093333,0.5109410917883053,0.0,0.0,0.0,0.289629053740691,0.6262469847095984,0.8295774806846721,0.32427086065016897,0.6307393669504179,0.4254527220225093,0.37393093331994315,0.5429603481886831,0.16666666666666666,0.4210990579597844,0.0,0.1515151515151527,0.6691935523288775
Zhao_2016_1,0.23767423860149822,0.3905164945849937,0.40954920086439106,0.5,0.2276874104462434,0.5082320846714442,0.359388883796882,0.6000000000000001,1.0,0.0,0.7103974233300683,0.31303140900259785,0.0,0.4285714285714285,0.0,0.0,0.14285714285714285,0.0,0.2429666025366184,0.8361430169176762,0.6024043150204855,0.0,0.5408287913136192,0.5360757358864445,0.0,0.0,0.14285714285714285,0.16949559963237926,0.6503316158037196,0.7532156677261459,0.2291545168773848,0.6838889235762331,0.13636122806743733,0.17540993639130253,0.5877000714043152,0.5,0.4516319307590182,0.0,0.09090909090909083,0.6078285511668811
Zhao_2016_2,0.29073213308119905,0.3052554300710746,0.8124432876118755,0.16666666666666666,0.30143360443586004,0.5398017834983104,0.359388883796882,0.6000000000000001,1.0,0.5,0.7136900950323266,0.3970965979805512,0.0,0.4285714285714285,0.0,0.0,0.14285714285714285,0.0,0.18160150157943278,0.9137057305192531,0.5076572949859679,0.0,0.5408287913136192,0.535899766693535,0.0,0.0,0.0,0.16949559963237926,0.6262469847095984,0.7870998798649111,0.3295674420230936,0.6833527029006191,0.2944162409286095,0.17540993639130253,0.542960348188676,0.0,0.38878564715788144,0.0,0.1515151515151527,0.6691935523288775
Zhao_2016_3,0.30556313878688135,0.3905164945849937,0.35992570127706447,0.16666666666666666,0.23250685871890725,0.5082320846714442,0.359388883796882,0.6000000000000001,1.0,0.0,0.6567760155189077,0.31303140900259785,0.0,0.4285714285714285,0.0,0.0,0.14285714285714285,0.0,0.2429666025366184,0.8288765151796615,0.5896902228753927,0.0,0.5408287913136192,0.5360757358864445,0.0,0.0,0.0,0.16949559963237926,0.7350406745340301,0.8750648202307945,0.1775206256959916,0.6725238988507714,0.5191335610411532,0.17540993639130253,0.5877000714043152,0.0,0.39505411000485235,0.0,0.0,0.6599438920553247
Zhao_2016_6,0.3772832563597074,0.3905164945849937,0.3149948497646571,0.16666666666666666,0.26404959200413736,0.5082320846714461,0.359388883796882,0.6000000000000001,1.0,0.0,0.657447741745699,0.31303140900262016,0.0,0.5714285714285714,0.0,0.0,0.14285714285714285,0.2,0.24296660253662417,0.6364165290732344,0.5735746459841297,0.0,0.32942161857093333,0.5116333587838695,0.0,0.0,0.0,0.289629053740691,0.7350406745340301,0.9175424210505554,0.17242855699710438,0.6206754207286516,0.5754671426663132,0.37393093331994315,0.5877000714043232,0.16666666666666666,0.4268977698442429,0.0,0.0,0.6599438920553247
Zhao_2017_2,0.34317802292395105,0.3052554300710746,0.7969093100190316,0.16666666666666666,0.2985594995669404,0.5398017834983104,0.42365915863646925,0.6000000000000001,1.0,0.5,0.8340123976888485,0.3970965979805512,0.0,0.4285714285714285,0.0,0.0,0.14285714285714285,0.0,0.18160150157943278,0.9148553733688247,0.5754667996490012,0.0,0.2648957345209564,0.535899766693535,0.0,0.0,0.0,0.020186971932648734,0.6619606652705325,0.7776152947643644,0.40004473146331154,0.33919836360621125,0.29237130445928017,0.14947977188128425,0.542960348188676,0.16666666666666666,0.710338931934063,0.0,0.1515151515151527,0.7064355607521702
Zhao_2017_3,0.42261708550362115,0.3052554300710746,0.7969093100190316,0.16666666666666666,0.32466106862934907,0.5398017834983183,0.3974263933958214,0.6000000000000001,1.0,0.5,0.8348030641612123,0.39709659798054475,0.0,0.7142857142857143,0.0,0.0,0.14285714285714285,0.4,0.18160150157943278,0.7344720147041786,0.5592972970274186,0.0,0.3277235689906708,0.5109410917883053,0.0,0.0,0.0,0.2605450588842882,0.6619606652705325,0.7776152947643644,0.3945636550328473,0.2813625060874042,0.11979213142343426,0.3581694607746371,0.5429603481886831,0.5,0.7458228842733514,0.0,0.1515151515151527,0.7064355607521702
