cid,isosmiles,Type,MLOGP,ALOGP,ESOL,Canonical_smis
126915,C([C@@H]1[C@H]([C@H]([C@@H](O1)C2=C3C(=NN2)C(=NC(=N3)N)N)O)O)O,Adenosine,-1.62042275,-1.7618,-0.289343709,Nc1nc(N)c2n[nH]c([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1
126916,C([C@@H]1[C@H]([C@H]([C@@H](O1)C2=C3C(=NN2)C(=NC(=N3)F)N)O)O)O,Adenosine,-1.148476596,-0.9675,-0.728918171,Nc1nc(F)nc2c([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)[nH]nc12
126945,CC1=C(N=CN1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)[C@@H](C)O,Adenosine,-1.083696619,-1.3746,-0.578102763,Cc1c([C@@H](C)O)ncn1[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
128771,C1=CN=C(C2=C1N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CCl)O)O)N,Adenosine,0.090245909,-0.2478,-1.779521955,Nc1nccc2c1ncn2[C@@H]1O[C@H](CCl)[C@@H](O)[C@H]1O
150669,C1=NC(=C2C(=N1)N(C=N2)C3C(=C(C(O3)CO)O)O)N,Adenosine,-0.431505569,-1.6571,-1.059146785,Nc1ncnc2c1ncn2C1OC(CO)C(O)=C1O
152521,C1=NC2=C(N=C(N=C2N1[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)N)N,Adenosine,-0.834496841,-2.7564,-0.353067884,Nc1nc(N)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c2n1
160283,COC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)NOC)OC)OC,Adenosine,0.843467006,-0.3934,-1.726020361,COC[C@H]1O[C@@H](n2cnc3c(NOC)ncnc32)[C@H](OC)[C@@H]1OC
160739,C1=NC(=C2C(=N1)N(C=N2)C3[C@@H]([C@H]([C@H](O3)CO)O)O)N,Adenosine,-0.345598117,-2.0201,-0.635690978,Nc1ncnc2c1ncn2C1O[C@H](CO)[C@H](O)[C@H]1O
167821,C1=NC2=C(C(=N1)SC#N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,Adenosine,-0.161039569,-0.7993,-1.324945297,N#CSc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
171798,[3H]C1=NC(=C2C(=N1)N(C(=N2)[3H])[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N,Adenosine,-0.345598117,-2.0201,-0.659762978,[3H]c1nc(N)c2nc([3H])n([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1
174743,COC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)NO)OC)OC,Adenosine,0.579898355,-0.8019,-1.552842664,COC[C@H]1O[C@@H](n2cnc3c(NO)ncnc32)[C@H](OC)[C@@H]1OC
177273,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@H]([C@@H]([C@H](O3)CO)O)[18F])N,Adenosine,0.540531422,-1.0801,-1.296134538,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1[18F]
193188,C1=C2C(=NC(=N1)F)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,Adenosine,-0.271468578,-1.2439,-0.979050063,OC[C@H]1O[C@@H](n2cnc3cnc(F)nc32)[C@H](O)[C@@H]1O
227045,CC(C1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O)O,Adenosine,-0.054132118,-1.6426,-0.955332324,CC(O)C1OC(n2cnc3c(N)ncnc32)C(O)C1O
234506,CNC1=C2C(=NC=N1)N(C=N2)C3CCCCO3,Adenosine,2.192340787,0.9071,-2.538268779,CNc1ncnc2c1ncn2C1CCCCO1
236526,C1CN1C2=NC=NC3=C2N=CN3C4C(C(C(O4)CO)O)O,Adenosine,0.226908552,-1.2927,-1.030195128,OCC1OC(n2cnc3c(N4CC4)ncnc32)C(O)C1O
240186,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(C(O3)CO)O)O)O)N,Adenosine,-0.78495675,-2.5308,-0.430786973,Nc1ncnc2c1ncn2C1OC(CO)C(O)C(O)C1O
248869,CNC1=C2C(=NC=N1)N(C=N2)C3CC(C(O3)CO)O,Adenosine,0.684875901,-0.6985,-1.412370014,CNc1ncnc2c1ncn2C1CC(O)C(CO)O1
250667,CC1CCC(O1)N2C=NC3=C(N=CN=C32)N,Adenosine,1.900874787,0.2731,-2.246135007,CC1CCC(n2cnc3c(N)ncnc32)O1
253777,C1=NC(=C2C(=N1)N(C=N2)C3C4C(O4)C(O3)CO)N,Adenosine,0.393409901,-1.2536,-1.127911501,Nc1ncnc2c1ncn2C1OC(CO)C2OC21
254695,CN1C=NC2=C(C1=O)N=CN2C3CC(C(O3)CO)O,Adenosine,0.278875901,-1.2441,-1.161235212,Cn1cnc2c(ncn2C2CC(O)C(CO)O2)c1=O
256026,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CCO)O)O)N,Adenosine,-0.054132118,-1.9577,-0.782809324,Nc1ncnc2c1ncn2C1OC(CCO)C(O)C1O
256105,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)OP(=O)(O)O)O)N,Adenosine,-0.166853094,-2.8304,-0.764656251,Nc1ncnc2c1ncn2C1OC(CO)C(OP(=O)(O)O)C1O
258591,CC1C2C(O2)C(O1)N3C=NC4=C(N=CN=C43)N,Adenosine,1.14173924,-0.3654,-1.75959577,CC1OC(n2cnc3c(N)ncnc32)C2OC12
258592,CC1(OC2C(SC(C2O1)N3C=NC4=C(N=CN=C43)N)CO)C,Adenosine,1.237731005,-0.5404,-2.237894295,CC1(C)OC2C(CO)SC(n3cnc4c(N)ncnc43)C2O1
259345,C1=NC2=C(N=C(N=C2N1C3C(C(C(O3)CCO)O)O)N)N,Adenosine,-0.11095675,-2.1833,-0.702651182,Nc1nc(N)c2ncn(C3OC(CCO)C(O)C3O)c2n1
259661,CCSC1CC(OC1N2C=NC3=C(N=CN=C32)N)CO,Adenosine,1.714245909,0.055,-2.197275561,CCSC1CC(CO)OC1n1cnc2c(N)ncnc21
260138,C1=NC(=C2C(=N1)N(C=N2)C3C4C(C(O3)CO)OC(=S)O4)N,Adenosine,0.265960431,0.2593,-1.850996529,Nc1ncnc2c1ncn2C1OC(CO)C2OC(=S)OC21
260472,C1=NC2=C(N=C(N=C2N1C3C(C(C(O3)CO)O)O)N)NCC(=O)O,Adenosine,-0.544346425,-2.0209,-0.573221682,Nc1nc(NCC(=O)O)c2ncn(C3OC(CO)C(O)C3O)c2n1
261450,CC1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N,Adenosine,-0.054132118,-2.0644,-0.839230754,Cc1nc(N)c2ncn(C3OC(CO)C(O)C3O)c2n1
261564,CC1CC(C(O1)N2C=NC3=C(N=CN=C32)N)O,Adenosine,1.14173924,-0.5588,-1.723182042,CC1CC(O)C(n2cnc3c(N)ncnc32)O1
262974,CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)N,Adenosine,0.393409901,-1.4215,-1.183373825,CC1OC(n2cnc3c(N)ncnc32)C(O)C1N
265287,CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)N)O,Adenosine,0.393409901,-1.4215,-1.183373825,CC1OC(n2cnc3c(N)ncnc32)C(N)C1O
266223,CC1=C2C(=NC=N1)N(C=N2)C3CC(C(O3)CO)O,Adenosine,0.35320524,-0.7637,-1.402326045,Cc1ncnc2c1ncn2C1CC(O)C(CO)O1
266234,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CN)O)O)N,Adenosine,-0.345598117,-2.3097,-0.55504403,NCC1OC(n2cnc3c(N)ncnc32)C(O)C1O
266348,COCN1C=NC2=C(C1=O)C=CN2C3C(C(C(O3)CO)O)O,Adenosine,-0.313277013,-1.381,-0.944810286,COCn1cnc2c(ccn2C2OC(CO)C(O)C2O)c1=O
266482,CSC1=NC(=NC2=C1N=CN2C3C(CC(O3)CO)O)N,Adenosine,0.546875901,-0.3842,-1.69711017,CSc1nc(N)nc2c1ncn2C1OC(CO)CC1O
267352,CN(C)C1=NC(=NC2=C1N=CN2C3C(CC(O3)CO)O)N,Adenosine,0.900908552,-0.7638,-1.513051205,CN(C)c1nc(N)nc2c1ncn2C1OC(CO)CC1O
267645,C1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)CO,Adenosine,0.393409901,-1.4817,-1.050505506,Nc1ncnc2c1ncn2C1OCC(CO)C1O
268420,C1=CC(OC1CO)N2C=NC3=C(N=CN=C32)N,Adenosine,1.055831788,-0.5309,-1.546194452,Nc1ncnc2c1ncn2C1C=CC(CO)O1
269843,C1C(C(COC1N2C=NC3=C(N=CN=C32)N)O)O,Adenosine,0.393409901,-1.2538,-1.236191372,Nc1ncnc2c1ncn2C1CC(O)C(O)CO1
272931,CNC1=C2C(=NC(=N1)F)N(C=N2)C3C(C(C(O3)CO)O)O,Adenosine,0.355610565,-0.8961,-1.271060056,CNc1nc(F)nc2c1ncn2C1OC(CO)C(O)C1O
273017,CNC1=C2C(=NC(=N1)N)N(C(=N2)Cl)C3C(C(C(O3)CO)O)O,Adenosine,0.438083919,-0.8142,-1.512689808,CNc1nc(N)nc2c1nc(Cl)n2C1OC(CO)C(O)C1O
