ID,MATS3p,SM10_AEA(dm),GATS7s,F07[N-O],VE1sign_Dz(v),VE3sign_D/Dt,B09[O-O],CATS2D_06_DL,SpMAD_EA(ri),P_VSA_charge_7,CATS2D_04_AA,H-052,CATS2D_09_AA,VE1sign_B(p),MATS3m,F10[O-O],P_VSA_LogP_5,Eig04_AEA(bo),P_VSA_LogP_4,Mv,IC1,MATS2m,MATS2p,GATS6i,P_VSA_charge_2,CATS2D_05_DA,GATS2p,GATS8i
Ma_2019_A,0.2230669623390162,0.3824898729028496,0.3907792115745316,0.5,0.3392016476214654,0.4336736036004559,0.0,0.0,0.5196842257121244,0.0,0.4285714285714285,0.0,0.1428571428571428,0.0,0.6690199196634175,0.0,0.1754818101017782,0.0368993455518245,0.4156381498528413,0.6262469847095984,0.6570557019806644,0.1361480246370346,0.7914779816047085,0.0700412360739815,0.0157614725453054,0.5,0.3048950019013552,0.5864794764340462
Ma_2019_U,0.2184087339634914,0.2708500975333039,0.5898446623111959,0.0,0.0972426908571906,0.7700769153867477,1.0,0.25,0.609883588469442,0.0,0.4285714285714285,0.0,0.1428571428571428,0.9748922579419111,0.5330113332798048,0.0,0.0,0.0501318480630792,0.2015342002849538,0.5554900282231205,0.5873153826409081,0.0280673766815466,0.3163797545313834,0.1387815212975693,0.3840996252846562,0.5,0.711019667429929,0.0
Ma_2019_C,0.1892422425600897,0.2708500975333039,0.4624487729839763,0.1666666666666666,0.0815775940669617,0.7700769153867477,0.0,0.25,0.435655745863821,0.2062111714471989,0.2857142857142857,0.0,0.0,0.8318908694475862,0.5838313938672197,0.0,0.2326327924959686,0.0516262333366381,0.0,0.4607564459729305,0.6469408803304231,0.1578093729429656,0.4417574340517448,0.3277392133841514,0.0259301645100186,0.5,0.6677291383737245,0.4851547595172105
Ma_2019_G,0.307924023430828,0.3905164945849937,0.3653019177243406,0.5,0.2591533994183799,0.5082320846714461,1.0,0.0,0.7110671738888499,0.0,0.5714285714285714,0.0,0.1428571428571428,0.6473716120675506,0.5879658798607705,0.0,0.3294216185709333,0.5116333587838695,0.289629053740691,0.6503316158037196,0.7944060685210652,0.2240204351405429,0.6311572244031397,0.262949727486724,0.3739309333199431,0.6666666666666666,0.4840496943999524,0.6078285511668826
Ma_2019_dA,0.2779256936905553,0.2909881191939933,0.5823341401480309,0.1666666666666666,0.4040321126066009,0.4573162167016147,0.0,0.25,0.5093747840953942,0.0,0.4285714285714285,0.0,0.1428571428571428,0.0972908845304191,0.5614317332566744,0.0,0.1754818101017782,0.0317534705240749,0.4156381498528413,0.6006085064481246,0.6899196027493715,0.230460947011479,0.7941385115741297,0.2315860726434238,0.0157614725453054,0.0,0.2427838195786558,0.6584169830871665
Ma_2019_T,0.0,0.0703004472536905,0.688402074695287,0.0,0.230066625093809,0.7711726098496939,1.0,0.25,0.8291885138749517,0.1920439197274817,0.4285714285714285,0.0,0.1428571428571428,0.6100715283606648,0.4231981858468127,0.0,0.044149289086826,0.1097662123382141,0.2015342002849538,0.4303811698873714,0.5405539105704964,0.4117359821791693,0.6697339813102505,0.0537429648733454,0.3840996252846562,0.0,0.4263164314091421,0.3360662870421607
Ma_2019_dC,0.2449145144055867,0.0416614316857018,0.7916162050032969,0.0,0.146089393699096,0.7870892449993849,0.0,0.5,0.3414967524808681,0.2062111714471989,0.2857142857142857,0.0,0.0,1.0,0.4537564110732543,0.0,0.2326327924959686,0.0256480545234505,0.0,0.4276432264955998,0.683940571125857,0.2412704820614234,0.4413531212971574,0.5801773256712872,0.0259301645100186,0.0,0.5929472475607191,0.4877973436012488
Ma_2019_dG,0.364243997938026,0.3052554300710746,0.7490423305347822,0.1666666666666666,0.3293966169734632,0.5398017834983183,1.0,0.5,0.7144473976595975,0.0,0.5714285714285714,0.0,0.1428571428571428,0.7669530182575719,0.4935229323148677,0.0,0.3294216185709333,0.5109410917883053,0.289629053740691,0.6262469847095984,0.8295774806846721,0.3242708606501688,0.6307393669504179,0.4254527220225093,0.3739309333199431,0.1666666666666666,0.4210990579597844,0.6691935523288775
Zhao_2016_1,0.2376742386014982,0.3905164945849937,0.409549200864391,0.5,0.2276874104462435,0.5082320846714442,1.0,0.0,0.7103974233300683,0.0,0.4285714285714285,0.0,0.1428571428571428,0.8361430169176762,0.6024043150204854,0.0,0.5408287913136192,0.5360757358864445,0.1694955996323792,0.6503316158037196,0.7532156677261459,0.2291545168773848,0.683888923576233,0.1363612280674373,0.1754099363913025,0.5,0.4516319307590182,0.6078285511668811
Zhao_2016_2,0.290732133081199,0.3052554300710746,0.8124432876118755,0.1666666666666666,0.30143360443586,0.5398017834983104,1.0,0.5,0.7136900950323266,0.0,0.4285714285714285,0.0,0.1428571428571428,0.9137057305192532,0.5076572949859679,0.0,0.5408287913136192,0.535899766693535,0.1694955996323792,0.6262469847095984,0.7870998798649111,0.3295674420230935,0.6833527029006189,0.2944162409286095,0.1754099363913025,0.0,0.3887856471578814,0.6691935523288775
