ID,B09[O-O],CATS2D_06_DL,SpMAD_EA(ri),SM5_X,P_VSA_charge_7,CATS2D_04_AA,CATS2D_05_DL,H-052,CATS2D_09_AA,F05[N-N],SpDiam_AEA(ed),MATS3m,P_VSA_LogP_5,Eig04_AEA(bo),nN(CO)2,CATS2D_03_DL,s2_numRotBonds,P_VSA_LogP_4,Mv,IC1,MATS2m,MATS2p,GATS6i,P_VSA_charge_2,Eig03_AEA(ed),CATS2D_05_DA,GATS2p,C-016,s2_pathLength,GATS8i
Ma_2019_A,0.0,0.0,0.5196842257121244,0.3130314090026201,0.0,0.4285714285714285,0.0,0.0,0.1428571428571428,0.0,0.2433991826483232,0.6690199196634175,0.1754818101017782,0.0368993455518245,0.0,0.0,0.1428571428571428,0.4156381498528413,0.6262469847095984,0.6570557019806644,0.1361480246370346,0.7914779816047085,0.0700412360739815,0.0157614725453054,0.5804228813592482,0.5,0.3048950019013552,0.0,0.0909090909090908,0.5864794764340462
Ma_2019_U,1.0,0.25,0.609883588469442,0.04664630641426,0.0,0.4285714285714285,0.3333333333333333,0.0,0.1428571428571428,0.0,0.1774261625927859,0.5330113332798048,0.0,0.0501318480630792,1.0,0.0,0.1428571428571428,0.2015342002849538,0.5554900282231205,0.5873153826409081,0.0280673766815466,0.3163797545313834,0.1387815212975693,0.3840996252846562,0.2009504939036479,0.5,0.711019667429929,1.0,0.0909090909090908,0.0
Ma_2019_C,0.0,0.25,0.435655745863821,0.04664630641426,0.2062111714471989,0.2857142857142857,0.3333333333333333,0.0,0.0,0.0,0.1774261625927859,0.5838313938672197,0.2326327924959686,0.0516262333366381,0.0,0.0,0.1428571428571428,0.0,0.4607564459729305,0.6469408803304231,0.1578093729429656,0.4417574340517448,0.3277392133841514,0.0259301645100186,0.2009504939036479,0.5,0.6677291383737245,1.0,0.0909090909090908,0.4851547595172105
Ma_2019_G,1.0,0.0,0.7110671738888499,0.3130314090026201,0.0,0.5714285714285714,0.0,0.0,0.1428571428571428,0.2,0.2429666025366241,0.5879658798607705,0.3294216185709333,0.5116333587838695,0.0,0.0,0.1428571428571428,0.289629053740691,0.6503316158037196,0.7944060685210652,0.2240204351405429,0.6311572244031397,0.262949727486724,0.3739309333199431,0.5877000714043232,0.6666666666666666,0.4840496943999524,0.0,0.0909090909090908,0.6078285511668826
Ma_2019_dA,0.0,0.25,0.5093747840953942,0.3970965979805479,0.0,0.4285714285714285,0.0,0.0,0.1428571428571428,0.0,0.177256538496227,0.5614317332566744,0.1754818101017782,0.0317534705240749,0.0,0.0,0.0,0.4156381498528413,0.6006085064481246,0.6899196027493715,0.230460947011479,0.7941385115741297,0.2315860726434238,0.0157614725453054,0.5364211799309748,0.0,0.2427838195786558,0.0,0.1515151515151527,0.6584169830871665
Ma_2019_T,1.0,0.25,0.8291885138749517,0.137938679231461,0.1920439197274817,0.4285714285714285,0.0,0.0,0.1428571428571428,0.0,0.0240164805493336,0.4231981858468127,0.044149289086826,0.1097662123382141,1.0,0.5,0.0,0.2015342002849538,0.4303811698873714,0.5405539105704964,0.4117359821791693,0.6697339813102505,0.0537429648733454,0.3840996252846562,0.4900570111499869,0.0,0.4263164314091421,0.0,0.1515151515151527,0.3360662870421607
Ma_2019_dC,0.0,0.5,0.3414967524808681,0.1379386792314511,0.2062111714471989,0.2857142857142857,0.0,0.0,0.0,0.0,0.0054579537898322,0.4537564110732543,0.2326327924959686,0.0256480545234505,0.0,0.0,0.0,0.0,0.4276432264955998,0.683940571125857,0.2412704820614234,0.4413531212971574,0.5801773256712872,0.0259301645100186,0.0745770979781923,0.0,0.5929472475607191,1.0,0.1515151515151527,0.4877973436012488
Ma_2019_dG,1.0,0.5,0.7144473976595975,0.3970965979805447,0.0,0.5714285714285714,0.0,0.0,0.1428571428571428,0.2,0.1816015015794327,0.4935229323148677,0.3294216185709333,0.5109410917883053,0.0,0.0,0.0,0.289629053740691,0.6262469847095984,0.8295774806846721,0.3242708606501688,0.6307393669504179,0.4254527220225093,0.3739309333199431,0.5429603481886831,0.1666666666666666,0.4210990579597844,0.0,0.1515151515151527,0.6691935523288775
Zhao_2016_1,1.0,0.0,0.7103974233300683,0.3130314090025978,0.0,0.4285714285714285,0.0,0.0,0.1428571428571428,0.0,0.2429666025366184,0.6024043150204854,0.5408287913136192,0.5360757358864445,0.0,0.0,0.1428571428571428,0.1694955996323792,0.6503316158037196,0.7532156677261459,0.2291545168773848,0.683888923576233,0.1363612280674373,0.1754099363913025,0.5877000714043152,0.5,0.4516319307590182,0.0,0.0909090909090908,0.6078285511668811
Zhao_2016_2,1.0,0.5,0.7136900950323266,0.3970965979805512,0.0,0.4285714285714285,0.0,0.0,0.1428571428571428,0.0,0.1816015015794327,0.5076572949859679,0.5408287913136192,0.535899766693535,0.0,0.0,0.0,0.1694955996323792,0.6262469847095984,0.7870998798649111,0.3295674420230935,0.6833527029006189,0.2944162409286095,0.1754099363913025,0.542960348188676,0.0,0.3887856471578814,0.0,0.1515151515151527,0.6691935523288775
Zhao_2016_3,1.0,0.0,0.6567760155189077,0.3130314090025978,0.0,0.4285714285714285,0.0,0.0,0.1428571428571428,0.0,0.2429666025366184,0.5896902228753929,0.5408287913136192,0.5360757358864445,0.0,0.0,0.0,0.1694955996323792,0.7350406745340301,0.8750648202307945,0.1775206256959916,0.6725238988507712,0.5191335610411532,0.1754099363913025,0.5877000714043152,0.0,0.3950541100048523,0.0,0.0,0.6599438920553247
