ID,P_VSA_charge_7,MATS3m,CATS2D_09_DA,VE1sign_Dz(v),H-052,B09[O-O],F05[N-N],P_VSA_charge_4,CATS2D_04_AA,SpMAD_AEA(dm),SpMAD_EA(ri),MATS2p,IC1,GATS2p,GATS3s,MATS6i,CATS2D_03_DL,GATS6i,C-016,GATS8e,VE1sign_B(p),CATS2D_08_DA,F10[O-O]
Ma_2019_A,0.0,0.5237436104752868,0.4,0.3392016476214654,0.0,0.0,0.0,0.0,0.4285714285714285,0.4251541268792982,0.5196842257121244,0.7869987454371742,0.6570557019806644,0.3131933932689059,0.3355277324395298,0.636536559451797,0.0,0.0700412360739815,0.0,0.5012818033157997,0.0,0.4,0.0
Ma_2019_U,0.0,0.3264013032209997,0.2,0.0972426908571906,0.0,1.0,0.0,0.0,0.4285714285714285,0.5571178094614222,0.609883588469442,0.3016949910137152,0.5873153826409081,0.7303716392023896,0.4065310171149023,0.4192926414705212,0.0,0.1387815212975693,1.0,0.9583532575813278,0.9748922579419111,0.2,0.0
Ma_2019_C,0.2062111714471989,0.4001389125719009,0.2,0.0815775940669617,0.0,0.0,0.0,0.359388883796882,0.2857142857142857,0.447427242742509,0.435655745863821,0.4297658932499844,0.6469408803304231,0.685902862715507,0.2752749600977082,0.3374748201212493,0.0,0.3277392133841514,1.0,0.4610060775463247,0.8318908694475862,0.2,0.0
Ma_2019_G,0.0,0.4061378647481743,0.6000000000000001,0.2591533994183799,0.0,1.0,0.2,0.359388883796882,0.5714285714285714,0.5663457429606273,0.7110671738888499,0.6232341575092863,0.7944060685210652,0.4972241766985297,0.3984630185012396,0.58771307702846,0.0,0.262949727486724,0.0,0.8597334795825089,0.6473716120675506,0.6000000000000001,0.0
Ma_2019_dA,0.0,0.3676380181494691,0.4,0.4040321126066009,0.0,0.0,0.0,0.0,0.4285714285714285,0.3290938782221904,0.5093747840953942,0.7897164259279434,0.6899196027493715,0.2493917178387406,0.4127082450101187,0.5448698891003615,0.0,0.2315860726434238,0.0,0.1928142917400472,0.0972908845304191,0.4,0.0
Ma_2019_T,0.1920439197274817,0.1670673930797726,0.2,0.230066625093809,0.0,1.0,0.0,0.0,0.4285714285714285,0.6799705132960234,0.8291885138749517,0.6626395770492178,0.5405539105704964,0.4379195753511187,0.4022206272569233,0.5980506405359994,0.5,0.0537429648733454,0.0,0.8429985813135643,0.6100715283606648,0.2,0.0
Ma_2019_dC,0.2062111714471989,0.2114059957527928,0.2,0.146089393699096,0.0,0.0,0.0,0.359388883796882,0.2857142857142857,0.4132640960780618,0.3414967524808681,0.4293528955021897,0.683940571125857,0.6090856174581787,0.3097888614382871,0.1907935406312459,0.0,0.5801773256712872,1.0,0.0,1.0,0.2,0.0
Ma_2019_dG,0.0,0.2691054194580168,0.6000000000000001,0.3293966169734632,0.0,1.0,0.2,0.359388883796882,0.5714285714285714,0.5287446954952797,0.7144473976595975,0.6228073241113407,0.8295774806846721,0.4325601995516943,0.4514159941850595,0.5005942894244322,0.0,0.4254527220225093,0.0,0.2400413902765685,0.7669530182575719,0.6000000000000001,0.0
Zhao_2016_2,0.0,0.2896137404048761,0.6000000000000001,0.30143360443586,0.0,1.0,0.0,0.359388883796882,0.4285714285714285,0.5429037581766156,0.7136900950323266,0.6765508407450799,0.7870998798649111,0.399367307854459,0.3401391258750088,0.5166073152965506,0.0,0.2944162409286095,0.0,0.2400413902765665,0.9137057305192532,0.6000000000000001,0.0
Zhao_2016_3,0.0,0.4086398084713715,0.6000000000000001,0.2325068587189073,0.0,1.0,0.0,0.359388883796882,0.4285714285714285,0.6194663927780804,0.6567760155189077,0.6654894244697969,0.8750648202307945,0.4058063807726109,0.4311466026249515,0.1607786815825962,0.0,0.5191335610411532,0.0,0.8432468970773221,0.8288765151796615,0.6000000000000001,0.0
Zhao_2016_6,0.0,0.3852568353002089,0.6000000000000001,0.2640495920041373,0.0,1.0,0.2,0.359388883796882,0.5714285714285714,0.6256727975705845,0.657447741745699,0.6125271954823084,0.9175424210505554,0.4385167361966275,0.5101078904015404,0.1621152300344253,0.0,0.5754671426663132,0.0,0.8432468970773221,0.6364165290732344,0.6000000000000001,0.0
Zhao_2017_3,0.0,0.3645410477201136,0.6000000000000001,0.324661068629349,0.0,1.0,0.4,0.3974263933958214,0.7142857142857143,0.5287446954952797,0.8348030641612123,0.2659255413061723,0.7776152947643644,0.7661221025156304,0.4864190142660445,0.9666733479963132,0.0,0.1197921314234342,0.0,0.2330754110147259,0.7344720147041786,0.6000000000000001,0.0
Zhao_2017_5,0.2062111714471989,0.2231940709696682,0.6000000000000001,0.3211665095590476,0.0,1.0,0.0,0.359388883796882,0.2857142857142857,0.5049768233879801,0.8355906513227485,0.6483711370823263,0.8381287121523155,0.4224762352241997,0.3225275638479215,0.4407176631712787,1.0,0.3141424653669524,1.0,0.2871045186195584,0.9919941847248313,0.6000000000000001,0.0
Wang_2022_a,0.0,0.4475209575410916,0.6000000000000001,0.3424395694821347,0.0,0.0,0.2,0.7187777675937619,0.4285714285714285,0.4720384916702933,0.5691962735152813,0.7440987928093934,0.644698606409277,0.45313652970809,0.385816493168692,0.5776892375830606,0.0,0.1483561233538699,0.0,0.6499440618500938,0.4820249381300769,0.6000000000000001,0.0
Wang_2022_c,0.0,0.4299953409266753,0.6000000000000001,0.3472069188974572,0.0,0.0,0.2,0.7187777675937619,0.4285714285714285,0.5430033063808333,0.5155701625397242,0.7315328566938218,0.7586664450850136,0.3965942455707831,0.520980376010973,0.1855875135893899,0.0,0.4102477353039839,0.0,0.8659939412178057,0.4750691568197644,0.6000000000000001,0.0
Wang_2022_d,0.0,0.4475209575410916,0.6000000000000001,0.3424395694821347,0.0,0.0,0.2,0.7187777675937619,0.4285714285714285,0.4720384916702933,0.5691962735152813,0.7440987928093934,0.644698606409277,0.45313652970809,0.385816493168692,0.5776892375830606,0.0,0.1483561233538699,0.0,0.6499440618500938,0.4820249381300769,0.6000000000000001,0.0
Wang_2022_e,0.0,0.4299953409266753,0.6000000000000001,0.3472069188974572,0.0,0.0,0.2,0.7187777675937619,0.4285714285714285,0.5430033063808333,0.5155701625397242,0.7315328566938218,0.7586664450850136,0.3965942455707831,0.520980376010973,0.1855875135893899,0.0,0.4102477353039839,0.0,0.8659939412178057,0.4750691568197644,0.6000000000000001,0.0
Park_2003_1,0.0693208091247934,0.1835430939614951,0.8,0.1052845013228406,0.0,1.0,0.8,0.0,0.7142857142857143,0.4560818997473408,0.8958408921122505,0.5425739070491903,0.8720129277923969,0.3320326357979608,0.4492660580484648,0.2735554567359793,0.0,0.687956182790785,0.0,0.4993373248114106,0.8995535655192954,0.4,0.0
Park_2003_2,0.3306855379770694,0.126852009674929,0.8,0.134742551324582,0.0,1.0,0.8,0.0,0.7142857142857143,0.4697093638880751,0.9686305373562104,0.7545577504604252,0.8727135272418218,0.2197140564154014,0.4461929992179709,0.2979636074608359,0.0,0.7090010294388112,0.0,0.5071206640114934,0.880193258747586,0.4,0.0
Park_2003_4,0.2613647288522746,0.0354727406319003,0.8,0.0796396646580987,0.0,1.0,0.8,0.0,0.7142857142857143,0.4645859931154481,0.9667216577468204,0.7545577504604248,0.8727135272418218,0.2197140564154014,0.4590009658842016,0.0,0.0,1.0,0.0,0.5440288208320432,0.8869638100127277,0.4,0.0
Park_2003_6,0.1937951756546635,0.2839257517599,0.8,0.0382709507086037,0.0,1.0,0.8,0.0,0.7142857142857143,0.4289045567617959,0.8948962433861638,0.6917929045587053,0.8568605228718926,0.2835072433856318,0.4005906240514336,0.1273466937487302,0.0,0.8332137849909524,0.0,0.5143176157495655,0.8930450018568321,0.4,0.0
Park_2003_7,0.2489487330597401,0.4204439466584014,0.8,0.0614134479079343,0.0,1.0,0.8,0.0,0.7142857142857143,0.3569509668714348,0.8141027384016652,0.5878462861968021,0.7698424623561566,0.3904507779821311,0.3303370596560611,0.0383561583926566,0.0,0.9635788539561304,0.0,0.4249859536415101,0.8909047756104476,0.4,0.0
Park_2007_2b,0.2613647288522746,0.1528262632243357,0.8,0.0201175825925679,0.0,1.0,0.8,0.0,0.7142857142857143,0.4932944872386589,0.9925801352236564,0.7538183500094275,0.8685657538944014,0.2530333543088945,0.4017422611187835,0.1095000712720191,0.0,0.8548946870657601,0.0,0.5231722346045309,0.7522948325305221,0.8,0.0
Park_2007_2c,0.1937951756546635,0.3965310630687821,0.8,0.0,0.0,1.0,0.8,0.0,0.7142857142857143,0.4612045852100133,0.917157666601069,0.6915098064072032,0.8571976620787662,0.3155649423388547,0.34552678808797,0.2204726564236164,0.0,0.7097473988592178,0.0,0.4863156319646331,0.7581133817291597,0.8,0.0
Park_2007_2d,0.2489487330597401,0.5316027702359305,0.8,0.114216459196503,0.0,1.0,0.8,0.0,0.7142857142857143,0.3919414226341278,0.8375865006037593,0.588124105268277,0.8087813234153454,0.4202637213734417,0.2754667971126223,0.127682541682215,0.0,0.8534183350104243,0.0,0.3996943770962575,0.7560983475204464,0.8,0.0
Skilling_2018_5b,0.2613647288522746,0.914090812739934,0.2,0.4114693827334232,1.0,0.0,0.0,1.0,0.5714285714285714,0.3056447276787866,0.1333015475896353,0.3740028873975257,0.7171397926541578,0.6005026207502833,0.363711782163959,0.5402431697284071,0.0,0.3876789919599028,1.0,0.3597303464177703,0.5907381749219061,0.2,1.0
Skilling_2018_5c,0.2062111714471989,0.5936966741709397,0.2,0.362648908531906,0.5,0.0,0.0,1.0,0.5714285714285714,0.4725627474219589,0.3788440928169372,0.5923084353013329,0.7171397926541578,0.4644872953739338,0.3699561869673105,0.8371797410407027,0.0,0.0066515700099807,1.0,0.4655286133716807,0.5569247159433992,0.2,1.0
Skilling_2018_6a,0.2613647288522746,0.9949565197168764,0.2,0.5035955585195768,1.0,0.0,0.0,1.0,0.4285714285714285,0.0,0.0,0.0352853812328985,0.2263552186506605,0.9756716411423252,0.0925223274316391,0.6211550987016468,0.5,0.021398284111064,1.0,0.0168412681550573,0.5519950048061464,0.4,0.5
Skilling_2018_6c,0.2613647288522746,0.9999999999999998,0.2,0.4909772482332117,1.0,0.0,0.0,1.0,0.4285714285714285,0.1348711946044156,0.121220203493781,0.1402714363893488,0.5197898014091744,0.850732666153796,0.2141055751357901,0.5954304203472776,0.5,0.0776175153339866,1.0,0.3727088790028441,0.553519405849145,0.4,0.5
Skilling_2018_6d,0.2613647288522746,0.9733724611906344,0.2,0.4544010942081836,1.0,0.0,0.0,1.0,0.4285714285714285,0.2094819328732677,0.1742095517367676,0.1956553431324624,0.6389473062407411,0.7860716006715203,0.2802010011041831,0.5731313687085803,0.5,0.1314471004593542,1.0,0.545426488864682,0.5543277189045668,0.4,0.5
Skilling_2018_6e,0.2613647288522746,0.9090540560032824,0.2,0.3850199580610215,1.0,0.0,0.0,1.0,0.4285714285714285,0.2988688515133821,0.2368312709286311,0.2697651389471912,0.7629632535995459,0.7007207339238297,0.3705678737454623,0.5736318343203961,0.5,0.2610635752492261,1.0,0.3626868649406245,0.5566770887932402,0.4,0.5
Nuthanakanti_2020_3a,0.2471974771325583,0.7138092443593609,0.2,0.4789630976129929,0.0,1.0,0.0,0.0,0.4285714285714285,0.2501198013451304,0.3655361673115038,0.1928989355684823,0.1504655521170206,0.8586870819696246,0.2106763060151562,0.4746989280450463,0.5,0.3231280553139655,0.0,0.6790765411962532,0.4410646431599858,0.2,0.0
