,MATS3p,SM10_AEA(dm),GATS7s,F07[N-O],VE1sign_Dz(v),VE3sign_D/Dt,P_VSA_charge_4,CATS2D_09_DA,B09[O-O],CATS2D_06_DL,SpMAD_EA(ri),SM5_X,P_VSA_charge_7,CATS2D_04_AA,CATS2D_05_DL,H-052,CATS2D_09_AA,F05[N-N],SpDiam_AEA(ed),VE1sign_B(p),MATS3m,F10[O-O],P_VSA_LogP_5,Eig04_AEA(bo),nN(CO)2,CATS2D_03_DL,s2_numRotBonds,P_VSA_LogP_4,Mv,IC1,MATS2m,MATS2p,GATS6i,P_VSA_charge_2,Eig03_AEA(ed),CATS2D_05_DA,GATS2p,C-016,s2_pathLength,GATS8i
MATS3p,1.0,0.5675708578687634,-0.5859310807411755,-0.25988851452614586,0.6677566214989337,0.5116880213498183,0.4772829945670158,-0.26516390485957547,-0.12797398957932193,0.2491194313298863,-0.41186236045633784,-0.39393481776771033,0.052051410214933626,-0.25586145832809587,0.27944012045695527,0.4256308143797868,-0.2181630036768037,-0.3206257041609504,0.3860439465278183,-0.2487947615182482,0.4424750565942819,0.3814120607406712,0.31080418456333775,-0.22420909231562428,-0.3363136589895106,0.24640843647740948,0.3142284874395446,-0.19497502914695194,-0.2496415156087658,-0.40072447532921807,0.35569175562376754,-0.33042953325160124,-0.17895381107520014,-0.04039874552660206,-0.09358562601487408,-0.3050299826645588,0.24892257656580222,0.15461209069994886,0.14298744294763613,-0.15610353245985778
SM10_AEA(dm),0.5675708578687634,1.0,-0.7840477193255067,-0.19121628546209768,0.4349003185725866,0.3149484337230699,0.5842019318721999,-0.14219826627453627,-0.3503793062221519,0.08391113862304954,-0.22860245759489614,-0.31948967129980826,0.08662523740417949,0.07188393384483398,0.3324632216077196,0.5217107861278791,-0.23656312888519637,-0.1473921769213933,0.6782104560182418,-0.6041328300443531,0.42125227094285184,0.6193302806902896,0.6521873809767988,-0.03136623111966072,-0.553641462205951,0.17997935277470073,0.5832746580517912,-0.07113259395612513,0.026172718549133656,-0.03279567145991574,0.3170514819305799,-0.08352485747328035,-0.46928145168998797,-0.214242555336844,0.1444208685771208,-0.11684122270415989,0.03969548087644837,0.07589301669616705,0.16769890985371316,-0.18203276908394359
GATS7s,-0.5859310807411755,-0.7840477193255067,1.0,0.30223777076904496,-0.5329711329848352,-0.42819042680932323,-0.5157005934316863,0.4512269407288787,0.4992391901171351,0.058262501475175546,0.5045946943728538,0.5462004331244312,-0.04112789641233263,0.25400661435304206,-0.41614341132417165,-0.5392355481087917,0.4186455478152044,0.3172370498977881,-0.6588910744089325,0.5910741085635055,-0.6351974511612308,-0.5223405003408761,-0.3442230842089813,0.3023283308996331,0.42589939348016626,-0.17093197845730207,-0.5661339027341151,0.17225769331008564,0.2556624295559305,0.3043292343084043,-0.08801951890574244,0.22451768691731483,0.4638847666402115,0.20559168799529148,0.10685911179177301,0.10032104802104222,-0.28591551673719534,-0.24319193433012787,0.10199948444160362,0.2930399860066618
F07[N-O],-0.25988851452614586,-0.19121628546209768,0.30223777076904496,1.0,-0.440694874027311,-0.4881171466608799,-0.3425270113253298,0.7727550035509769,0.4626251361467148,-0.5181817470567056,0.5810021115414873,0.4860319410281749,-0.22282698558585454,0.6055612181677595,-0.3793270561178389,-0.5054831200714731,0.6574687805911014,0.6988453895213903,-0.303686680413602,0.12953679816906363,-0.3924352883529412,-0.22257354561693407,-0.21558772501168985,0.5390664223803601,0.2756377128360974,-0.48121676478121445,0.023867797540719157,0.619693877397404,0.5576499155753573,0.31404290686061753,-0.03892567377561057,0.49697242942570957,0.29319135134914887,0.3926857317976588,0.7358349545109814,0.5514677254815057,-0.561609053956973,-0.6062102986956742,-0.19550678478846115,0.5261020134047285
VE1sign_Dz(v),0.6677566214989337,0.4349003185725866,-0.5329711329848352,-0.440694874027311,1.0,0.5410229715077729,0.39539461022195205,-0.56345543978416,-0.1673491986512019,0.3076393765285397,-0.6607416849720353,-0.628296046435899,0.05255379800110781,-0.4078303996413508,0.35916330318604567,0.4544151249619659,-0.3955536312706524,-0.5878327051683421,0.4911643461744276,-0.33392581662083304,0.6202345918337241,0.45116174569121714,0.211084458796945,-0.4256179562039084,-0.19091881704577807,0.39356573071045065,0.29130519072273237,-0.24296736352131665,-0.6231342119635,-0.6285594531232247,0.3066655487980412,-0.35170621284394776,-0.3820175732778858,0.05111600593957891,-0.37767868473049443,-0.29911518001877446,0.5430504670773594,0.2931162977094924,0.09754306783011268,-0.3806721000229223
VE3sign_D/Dt,0.5116880213498183,0.3149484337230699,-0.42819042680932323,-0.4881171466608799,0.5410229715077729,1.0,0.14671204923163236,-0.4958502888942735,-0.17796506663026918,0.5578386403187867,-0.5572918339703807,-0.5881485313405816,0.33347507183514025,-0.4008510714581729,0.5234931925750632,0.44808748473696136,-0.11022379187080011,-0.5604839143821961,0.4866782412478874,-0.23357323128098195,0.4054015805645693,0.3967993285191992,0.2600584544190831,-0.22053480788641625,-0.04407519044284291,0.48062695098787855,0.26068310207319717,-0.14650547980244039,-0.5867322254218483,-0.6682353015576026,0.2262799590452062,-0.6392169797181098,-0.24442656944808877,0.029311157078874172,-0.4619271705702847,-0.4901963162063146,0.5144563761995187,0.49623438652056695,0.3326179210833893,-0.5079599717994114
P_VSA_charge_4,0.4772829945670158,0.5842019318721999,-0.5157005934316863,-0.3425270113253298,0.39539461022195205,0.14671204923163236,1.0,-0.19912671317824124,-0.48821089191565964,-0.10284874805265162,-0.470207031851135,-0.37166850438362614,-0.16960218977773586,-0.17081848862756494,-0.0019145264085425272,0.3617153667352802,-0.6490628636787603,-0.2268503804374434,0.17495908116483885,-0.11221842596099747,0.22526284464373444,0.5711056145578662,0.5697921182898334,-0.4741360090945295,-0.7701388367540369,0.0001692577115942519,0.39831067264644754,-0.4571470583143331,-0.1256268008601461,-0.08618891624721696,0.41730173495236855,-0.08626936156837066,-0.4502764341685024,-0.41845744383306643,-0.3256507934397462,-0.315713609853717,0.2586743159501216,0.33176266390190434,0.2671329625566002,-0.3434700390325593
CATS2D_09_DA,-0.26516390485957547,-0.14219826627453627,0.4512269407288787,0.7727550035509769,-0.56345543978416,-0.4958502888942735,-0.19912671317824124,1.0,0.37670386319685345,-0.27349261579845413,0.7116395652236326,0.747504105152458,-0.1611461029779937,0.6681595539927994,-0.5195689449421017,-0.493468641970758,0.6825618120142628,0.7505866874670581,-0.3815952214220371,0.15203630433261053,-0.6204611222480266,-0.22284447874460894,-0.07608535989936896,0.616247678051625,0.08818795179524383,-0.39050862100810396,-0.20248682132236046,0.5429020730875762,0.7240275187178448,0.5870677017412268,0.08059004897427392,0.5455501511724371,0.3650132144101514,0.06387599578465296,0.660762818706754,0.18187448756656935,-0.6552440508212306,-0.5676470492085929,0.07518118181426067,0.6339961906523294
B09[O-O],-0.12797398957932193,-0.3503793062221519,0.4992391901171351,0.4626251361467148,-0.1673491986512019,-0.17796506663026918,-0.48821089191565964,0.37670386319685345,1.0,-0.03707168578425764,0.46830827638130085,0.14431117434817836,-0.04507804229264089,0.3492548693619398,-0.0803559246747352,-0.32450539195326084,0.5524061615826469,0.14172008225601138,-0.2765644551335072,0.42751391924340654,-0.2531353640030544,-0.30012818205650776,-0.1397810730863069,0.41360009957306076,0.5585834797735868,-0.04072510347630987,-0.18471237057297007,0.2259680156704442,0.19832096399599264,0.03375449511072151,-0.03515798422252953,0.05625277475604726,0.38110615827290517,0.7085647226589988,0.4024909122232979,0.27872833867837477,-0.12375921747200695,-0.3576459083546923,-0.19427835035532165,0.2207958434646021
CATS2D_06_DL,0.2491194313298863,0.08391113862304954,0.058262501475175546,-0.5181817470567056,0.3076393765285397,0.5578386403187867,-0.10284874805265162,-0.27349261579845413,-0.03707168578425764,1.0,-0.1689138156368851,-0.16499953756612748,0.6472396662540709,-0.27047429427340286,0.5827720421498173,0.4315222093993682,0.044976839703912606,-0.3697820921782628,0.38138276699138485,-0.10522178483846485,0.2620685799767045,0.08029407684203688,0.07267984009230348,0.08571645711608389,0.2163444338662974,0.6423669527278942,-0.06919338185978537,-0.23346858398674258,-0.41452547122584055,-0.31639924555173016,0.23365868546778384,-0.5650001881038266,0.11792813875717899,-0.10151023448378815,-0.29405303567624963,-0.4338935821044162,0.31815755804524204,0.36045575062262075,0.41222242793758684,-0.08802868921945776
SpMAD_EA(ri),-0.41186236045633784,-0.22860245759489614,0.5045946943728538,0.5810021115414873,-0.6607416849720353,-0.5572918339703807,-0.470207031851135,0.7116395652236326,0.46830827638130085,-0.1689138156368851,1.0,0.7288138780909506,-0.06973826865691332,0.5323848183803255,-0.38533708402337996,-0.3634174221396826,0.6133662273536747,0.6684612621343033,-0.3836001588080346,0.12782868980894413,-0.6109434216239468,-0.403389795785813,-0.24503956236986518,0.6990086448451702,0.32457015286125357,-0.17898210213780505,-0.3009252525459298,0.4155624449755947,0.6259172048273386,0.6487837210421921,-0.10720484291924365,0.49581191781531003,0.3731564783311601,0.21743050719224688,0.7591017337938436,0.4074596328308121,-0.5329688758463378,-0.6377855690465964,-0.11573212496107191,0.7066784052568871
SM5_X,-0.39393481776771033,-0.31948967129980826,0.5462004331244312,0.4860319410281749,-0.628296046435899,-0.5881485313405816,-0.37166850438362614,0.747504105152458,0.14431117434817836,-0.16499953756612748,0.7288138780909506,1.0,-0.16129718645214017,0.49126481837424313,-0.5477701602160965,-0.5603050909461121,0.5714361321485878,0.7150350363474747,-0.380276741093111,0.07539351104963454,-0.6149633835655699,-0.5076572293351361,-0.29389972595083835,0.6441828493726975,0.11027220672272271,-0.37290547577899363,-0.5203819485327683,0.48375420533279706,0.686597317321648,0.7162600587194313,-0.1631035269473263,0.5375172380010801,0.41282605883357004,-0.1370312197426606,0.5450529274013086,0.18671516972703464,-0.6674645245683294,-0.6562395602443548,-0.010058762745798668,0.7484454555569576
P_VSA_charge_7,0.052051410214933626,0.08662523740417949,-0.04112789641233263,-0.22282698558585454,0.05255379800110781,0.33347507183514025,-0.16960218977773586,-0.1611461029779937,-0.04507804229264089,0.6472396662540709,-0.06973826865691332,-0.16129718645214017,1.0,-0.02119854512403641,0.6550650656595888,0.5417289901948067,0.17364926781201306,-0.14999232068698484,0.2919560435916613,-0.05685381182633867,0.19428249548911766,0.2107807790372386,0.10276949881106766,0.22963938946977294,0.34471320219876406,0.4785878726563763,0.20224384365037712,-0.06642981254194226,-0.22824243693477045,-0.197395697260942,0.31564017860783145,-0.3786329696912335,0.32740790750739646,0.06731577035805432,0.003825957443449655,-0.2678035110735355,0.016559215173423975,0.3030865356807638,0.40352642854304416,0.04456212163606688
CATS2D_04_AA,-0.25586145832809587,0.07188393384483398,0.25400661435304206,0.6055612181677595,-0.4078303996413508,-0.4008510714581729,-0.17081848862756494,0.6681595539927994,0.3492548693619398,-0.27047429427340286,0.5323848183803255,0.49126481837424313,-0.02119854512403641,1.0,-0.23326013146782887,-0.24001211289175228,0.57524264887216,0.7254891702993403,-0.010022528408582278,0.022757317966605312,-0.37523136914574157,0.07965332990998332,0.10107235394987173,0.5682104233940494,0.19056543140178756,-0.46643322250928737,-0.002918267085974431,0.6152620116635894,0.5935197834214624,0.5143118455985172,0.14697978231814143,0.28083286644599625,0.24342839571018487,0.30887835532587177,0.6349698393290023,0.31425913955002893,-0.5068174437071664,-0.45222171706318703,0.13014152798076387,0.43890457798991167
CATS2D_05_DL,0.27944012045695527,0.3324632216077196,-0.41614341132417165,-0.3793270561178389,0.35916330318604567,0.5234931925750632,-0.0019145264085425272,-0.5195689449421017,-0.0803559246747352,0.5827720421498173,-0.38533708402337996,-0.5477701602160965,0.6550650656595888,-0.23326013146782887,1.0,0.583339263285155,-0.09840722064816333,-0.4489136778247921,0.5782577035260981,-0.19051023387697225,0.5628267064934221,0.3132573049377965,0.1311921731294197,-0.06234006314454241,0.23762452902555944,0.4332792606432854,0.45637659147347176,-0.2052141768556187,-0.4286867129741448,-0.46488149936648687,0.09782763045394889,-0.6359365186045394,-0.002921877902305918,0.13540671088121742,-0.18363207825839528,-0.09607163564496632,0.3418171244821011,0.44919545289105417,0.07583209206106428,-0.28161017060250043
H-052,0.4256308143797868,0.5217107861278791,-0.5392355481087917,-0.5054831200714731,0.4544151249619659,0.44808748473696136,0.3617153667352802,-0.493468641970758,-0.32450539195326084,0.4315222093993682,-0.3634174221396826,-0.5603050909461121,0.5417289901948067,-0.24001211289175228,0.583339263285155,1.0,-0.3770982797646103,-0.44530911403129564,0.5396746337446876,-0.28787879169933805,0.5646186221299863,0.5740786251630211,0.313273568838662,-0.2820991178822276,-0.06777673125938606,0.5643186505500244,0.5152884867689602,-0.41640866115044317,-0.5004667947933654,-0.40663101324411466,0.36310482278270323,-0.41015676912794696,-0.2067774546829654,-0.1359622317080131,-0.2186979911270743,-0.3607013240039197,0.37735371945970564,0.535150964328617,0.4007655658251563,-0.23897836652089013
CATS2D_09_AA,-0.2181630036768037,-0.23656312888519637,0.4186455478152044,0.6574687805911014,-0.3955536312706524,-0.11022379187080011,-0.6490628636787603,0.6825618120142628,0.5524061615826469,0.044976839703912606,0.6133662273536747,0.5714361321485878,0.17364926781201306,0.57524264887216,-0.09840722064816333,-0.3770982797646103,1.0,0.5196329320577656,-0.13082050119714816,0.04083805237833729,-0.44499289928419705,-0.3002364162997132,-0.310671167751817,0.7931612961355157,0.5821956987041218,-0.14741100604587895,-0.2278646377349381,0.7351684146035536,0.4249534115063115,0.19446832355168103,-0.008718966385241366,0.254878094887851,0.5075809370945887,0.4247778055926558,0.6370807361847023,0.17495608845003494,-0.5436403620183541,-0.5252501485603867,0.03557990339538903,0.5700531547941585
F05[N-N],-0.3206257041609504,-0.1473921769213933,0.3172370498977881,0.6988453895213903,-0.5878327051683421,-0.5604839143821961,-0.2268503804374434,0.7505866874670581,0.14172008225601138,-0.3697820921782628,0.6684612621343033,0.7150350363474747,-0.14999232068698484,0.7254891702993403,-0.4489136778247921,-0.44530911403129564,0.5196329320577656,1.0,-0.21312215485728758,0.1082572079545263,-0.5157370849808126,-0.19874105392993538,-0.1724799811539673,0.6155391870331844,0.18010515122304532,-0.43989713855119156,-0.22388603863807646,0.5835991778654154,0.6422657170654217,0.6701659560079606,-0.005400433603657219,0.4641869386878612,0.32133829318514,0.19550819110972345,0.7045018844535481,0.43675723322843163,-0.5749997021153008,-0.5547457866584943,-0.053231283952448354,0.6850171488365089
SpDiam_AEA(ed),0.3860439465278183,0.6782104560182418,-0.6588910744089325,-0.303686680413602,0.4911643461744276,0.4866782412478874,0.17495908116483885,-0.3815952214220371,-0.2765644551335072,0.38138276699138485,-0.3836001588080346,-0.380276741093111,0.2919560435916613,-0.010022528408582278,0.5782577035260981,0.5396746337446876,-0.13082050119714816,-0.21312215485728758,1.0,-0.5475525035922045,0.7248288506080282,0.43451087673077415,0.31198398287877277,0.044958915570281976,-0.052913320435952725,0.3446880297856413,0.39075638554979847,-0.01765440036551439,-0.34572073808891596,-0.25164908116281504,0.06514955290777365,-0.43560582052400126,-0.2488798733647713,-0.020563200577989497,-0.030951901272280688,-0.02291597128353023,0.3302034252422011,0.23291290803984296,0.04765687670460943,-0.1510028161294092
VE1sign_B(p),-0.2487947615182482,-0.6041328300443531,0.5910741085635055,0.12953679816906363,-0.33392581662083304,-0.23357323128098195,-0.11221842596099747,0.15203630433261053,0.42751391924340654,-0.10522178483846485,0.12782868980894413,0.07539351104963454,-0.05685381182633867,0.022757317966605312,-0.19051023387697225,-0.28787879169933805,0.04083805237833729,0.1082572079545263,-0.5475525035922045,1.0,-0.38633028985771517,-0.18948244672831063,-0.09274719121968178,-0.014979578090493446,0.2760979815738944,-0.28687288220880436,-0.2237004363946913,-0.19781935259806674,0.03144601392629693,0.1042092911530567,-0.04126771191994638,-0.04497358934144502,0.4188745053323496,0.31362099305028823,-0.11914154092444619,0.02153014149235395,0.03965891658343487,0.24480042446067493,0.04892241946129036,0.029982895680409898
