ID,PCA1,PCA2,PCA3,Hydrogel-forming ability
Ma_2019_A,0.06075953746889362,-0.7871362759883476,-0.443431938397697,Gelator
Ma_2019_U,0.2512642099994613,0.889912120570608,-0.9773416972940938,Gelator
Ma_2019_C,0.8777466214729087,-0.23478840591524858,-0.9550004999632132,Gelator
Ma_2019_G,-0.41379580092047835,-0.3531413982592753,-0.09651039732987829,Gelator
Ma_2019_dA,0.12836442589209482,-0.6991208760473461,-0.5413688622925629,Gelator
Ma_2019_T,-0.24509014505388213,0.6493185532654672,-0.6691330791373243,Gelator
Ma_2019_dC,0.8140512473747105,-0.19520934481292848,-1.1951611824567931,Nongelator
Ma_2019_dG,-0.34555734336591937,-0.19349417267651517,-0.20309874095251365,Gelator
Zhao_2016_1,-0.2962998686161885,-0.38002667072808893,-0.16846035252304986,Gelator
Zhao_2016_2,-0.2282709161457054,-0.22290521874009553,-0.2721186823750293,Gelator
Zhao_2016_3,-0.22324057905404507,-0.36779849851529467,-0.25244162498062167,Gelator
Zhao_2016_6,-0.33181482701231424,-0.3502103703187367,-0.17960556515268658,Gelator
Zhao_2017_2,-0.17829253045387933,-0.10527168891668316,-0.3909347260203554,Gelator
Zhao_2017_3,-0.3314090857866014,-0.13432675885601217,-0.20131109933565278,Nongelator
Zhao_2017_5,0.2807947538743723,0.22232880512824893,-0.4767149457074841,Nongelator
Zhao_2017_6,-0.07678992772752269,0.13668899687162636,-0.19068406011592917,Nongelator
Wang_2022_a,0.020092861685238578,-0.8638741541273286,-0.21835395143662784,Nongelator
Wang_2022_b,0.14178770925726508,-0.7071468505705738,-0.3537857447540797,Nongelator
Wang_2022_c,0.13629450681085872,-0.8548955580313228,-0.3359646317880956,Nongelator
Wang_2022_d,0.020092861685238578,-0.8638741541273286,-0.2183539514366279,Nongelator
Wang_2022_e,0.13629450681085872,-0.8548955580313228,-0.3359646317880957,Gelator
Park_2003_1,-1.4519675464390305,0.36201164735248753,-0.04534636186173265,Gelator
Park_2003_2,-1.4972555858946492,0.3417460285927772,0.0978010200801935,Gelator
Park_2003_3,-1.519173696057746,0.2751079632343345,0.0010211676370032678,Gelator
Park_2003_4,-1.61302707175997,0.32599742004611193,0.021472554726595663,Gelator
Park_2003_5,-1.3899713141813037,0.3540101504028123,0.0910067179474224,Gelator
Park_2003_6,-1.4501151199707225,0.39213405629870446,0.03600770057929536,Gelator
Park_2003_7,-1.2818652266109307,0.5311514313392316,0.11160019034985118,Gelator
Park_2007_2a,-1.4147155651101035,0.37843823936512583,0.16387628161030363,Gelator
Park_2007_2b,-1.5434429572764332,0.36021920381230543,0.25292736731005966,Gelator
Park_2007_2c,-1.395008176753295,0.42120046871633254,0.26576992335624344,Gelator
Park_2007_2d,-1.2317794710948815,0.558569259038059,0.34548633655154737,Gelator
Skilling_2018_5a,2.115141241366286,-0.19002037371295188,0.6074721683213924,Nongelator
Skilling_2018_5b,1.988899904284783,-0.26429090443471426,0.6032178404672984,Nongelator
Skilling_2018_5c,1.7722887957239135,-0.4926985011360628,0.5076167762950815,Nongelator
Skilling_2018_6a,2.410416014701565,0.2628789841318372,0.4494167925873856,Nongelator
Skilling_2018_6b,2.3719149288798405,0.22491782812607478,0.46152506073420285,Nongelator
Skilling_2018_6c,2.2561665254182204,0.1283746693153827,0.48523253723789544,Nongelator
Skilling_2018_6d,2.163390968648124,0.06662930614885278,0.496333269601435,Nongelator
Skilling_2018_6e,1.9700325299134747,-0.12998202273026715,0.42271596957692564,Nongelator
Nuthanakanti_2020_3a,0.2024103698208678,1.3192739486671783,-0.15162691821634253,Nongelator
Nuthanakanti_2020_3b,0.24965074083965622,1.3617573349247083,-0.16100587344199524,Gelator
Nuthanakanti_2020_3c,0.2883442589353406,1.3978215238237484,-0.17065090554102824,Gelator
Nuthanakanti_2020_4a,0.5188144484796644,1.391277641027261,-0.5671368065468154,Nongelator
Nuthanakanti_2020_4b,0.564007713653597,1.4296448230806995,-0.5745097286751987,Gelator
Nuthanakanti_2020_4c,0.6006434655622253,1.4622538633643178,-0.5825068125931322,Gelator
Seela_2011_1,-0.4322623119737994,-0.8995362184801968,0.34385066465025377,Gelator
Seela_2011_2,-0.41501658803103053,-0.7345773783784266,0.2191339764151304,Gelator
Seela_2011_3,0.26646902309384474,-0.42616973410970005,0.06438342578958922,Nongelator
Seela_2011_4,-0.2084338908122154,-0.6715118871883347,0.364698380614096,Nongelator
Seela_2011_13,-0.42826576026375557,-0.721296099461051,0.24404919746891468,Nongelator
Jung_2005,-1.3066379598998263,0.3191682560578798,-0.06922072306839012,Gelator
Sreenivasachary_2005,-0.6540693411480691,-0.4098710942592755,0.024870136960477292,Gelator
Buerkle_2009_b,-0.5076940357380942,-0.45425178492558044,1.422261207751263,Nongelator
Buerkle_2012_8BrG,-0.1846304259091798,-0.007624308962542368,0.42753186706172974,Nongelator
Buerkle_2012_8OMeG,-0.46029256245292316,-0.5415089892925884,0.046550165211775414,Gelator
Buerkle_2012_8BrTAcG,-0.2856936424331216,-0.17532427225162633,1.732740091429258,Nongelator
Buerkle_2012_8OMeTAcG,-0.4177193229192635,-0.5506229029492566,1.6604169482160893,Gelator
Xiao_2018_2,0.0005083539220367582,-0.6405162831697819,-0.2543055709758588,Gelator
Xiao_2018_4,0.06260851217053792,-0.6918624566643186,-0.39709628501663624,Nongelator
Xiao_2018_5,0.09221049823355837,-0.740536680246456,-0.2081938471630286,Nongelator
Xiao_2019_2,-0.8605175137989451,-0.5397382902867295,0.09610194835076111,Gelator
