,Hydrogel-forming ability,variable,value,Descriptors,Values
102,Gelator,ESOL,0.5771166558626977,ESOL,0.5771166558626977
103,Nongelator,ESOL,0.6113640385687897,ESOL,0.6113640385687897
104,Nongelator,ESOL,0.682861097728124,ESOL,0.682861097728124
105,Nongelator,ESOL,0.6775810822039832,ESOL,0.6775810822039832
106,Nongelator,ESOL,0.323738978609714,ESOL,0.323738978609714
107,Nongelator,ESOL,0.3926588454174341,ESOL,0.3926588454174341
108,Nongelator,ESOL,0.5321236666545269,ESOL,0.5321236666545269
109,Nongelator,ESOL,0.6346597652506396,ESOL,0.6346597652506396
110,Nongelator,ESOL,0.7061568244099754,ESOL,0.7061568244099754
111,Nongelator,ESOL,0.49181855471468694,ESOL,0.49181855471468694
112,Gelator,ESOL,0.4226475101670638,ESOL,0.4226475101670638
113,Gelator,ESOL,0.35396456214414185,ESOL,0.35396456214414185
114,Nongelator,ESOL,0.5413521062121687,ESOL,0.5413521062121687
115,Gelator,ESOL,0.47191408653940753,ESOL,0.47191408653940753
116,Gelator,ESOL,0.4029942197316875,ESOL,0.4029942197316875
117,Gelator,ESOL,0.5017066548583625,ESOL,0.5017066548583625
118,Gelator,ESOL,0.48260771013610215,ESOL,0.48260771013610215
119,Nongelator,ESOL,0.34882781139230645,ESOL,0.34882781139230645
120,Nongelator,ESOL,0.23035974605115095,ESOL,0.23035974605115095
121,Nongelator,ESOL,0.47826701289282214,ESOL,0.47826701289282214
122,Gelator,ESOL,0.6444002286320085,ESOL,0.6444002286320085
123,Gelator,ESOL,0.9849940769839488,ESOL,0.9849940769839488
124,Nongelator,ESOL,0.7562280575548335,ESOL,0.7562280575548335
125,Nongelator,ESOL,0.7761887642392651,ESOL,0.7761887642392651
126,Gelator,ESOL,0.8945354403196063,ESOL,0.8945354403196063
127,Nongelator,ESOL,0.6021340572734935,ESOL,0.6021340572734935
128,Gelator,ESOL,0.7187579558351045,ESOL,0.7187579558351045
129,Gelator,ESOL,0.9702257267981004,ESOL,0.9702257267981004
130,Nongelator,ESOL,0.9445522855866353,ESOL,0.9445522855866353
131,Nongelator,ESOL,0.9466271552596449,ESOL,0.9466271552596449
132,Gelator,ESOL,0.9098220690118592,ESOL,0.9098220690118592
133,Nongelator,ESOL,0.9613955054454933,ESOL,0.9613955054454933
134,Nongelator,ESOL,0.2652753531555133,ESOL,0.2652753531555133
135,Nongelator,ESOL,0.13217669039415003,ESOL,0.13217669039415003
136,Nongelator,ESOL,0.0,ESOL,0.0
137,Nongelator,ESOL,0.977495145494625,ESOL,0.977495145494625
138,Nongelator,ESOL,0.8329653640315038,ESOL,0.8329653640315038
139,Nongelator,ESOL,0.9115379574347442,ESOL,0.9115379574347442
140,Gelator,ESOL,0.6563404673701385,ESOL,0.6563404673701385
141,Gelator,ESOL,0.9323844596903887,ESOL,0.9323844596903887
142,Gelator,Hy,0.443413217937028,Hy,0.443413217937028
143,Gelator,Hy,0.28673215124630674,Hy,0.28673215124630674
144,Gelator,Hy,0.4693900389804205,Hy,0.4693900389804205
145,Gelator,Hy,0.6207728503877468,Hy,0.6207728503877468
146,Gelator,Hy,0.271243499242444,Hy,0.271243499242444
147,Gelator,Hy,0.1063226935424092,Hy,0.1063226935424092
148,Nongelator,Hy,0.2919892964490271,Hy,0.2919892964490271
149,Gelator,Hy,0.443413217937028,Hy,0.443413217937028
150,Gelator,Hy,0.6207728503877468,Hy,0.6207728503877468
151,Gelator,Hy,0.443413217937028,Hy,0.443413217937028
152,Gelator,Hy,0.43680286846862476,Hy,0.43680286846862476
153,Gelator,Hy,0.43680286846862476,Hy,0.43680286846862476
154,Gelator,Hy,0.45347997286756553,Hy,0.45347997286756553
155,Nongelator,Hy,0.45347997286756553,Hy,0.45347997286756553
156,Nongelator,Hy,0.4333464630064903,Hy,0.4333464630064903
157,Nongelator,Hy,0.4333464630064903,Hy,0.4333464630064903
158,Nongelator,Hy,0.8138673008490018,Hy,0.8138673008490018
159,Nongelator,Hy,0.6304047258229031,Hy,0.6304047258229031
160,Nongelator,Hy,0.6207728503877468,Hy,0.6207728503877468
161,Nongelator,Hy,0.8138673008490018,Hy,0.8138673008490018
162,Gelator,Hy,0.6207728503877468,Hy,0.6207728503877468
163,Gelator,Hy,0.03957865980377065,Hy,0.03957865980377065
164,Gelator,Hy,0.033845718223331184,Hy,0.033845718223331184
165,Gelator,Hy,0.033845718223331184,Hy,0.033845718223331184
166,Gelator,Hy,0.033845718223331184,Hy,0.033845718223331184
167,Gelator,Hy,0.028446586020067582,Hy,0.028446586020067582
168,Gelator,Hy,0.028446586020067582,Hy,0.028446586020067582
169,Gelator,Hy,0.018532457224082616,Hy,0.018532457224082616
170,Gelator,Hy,0.18400883481201957,Hy,0.18400883481201957
171,Gelator,Hy,0.1770084593864084,Hy,0.1770084593864084
172,Gelator,Hy,0.17039479836241944,Hy,0.17039479836241944
173,Gelator,Hy,0.15819717850644754,Hy,0.15819717850644754
174,Nongelator,Hy,0.052808667190042846,Hy,0.052808667190042846
175,Nongelator,Hy,0.06684193086418372,Hy,0.06684193086418372
176,Nongelator,Hy,0.06684193086418372,Hy,0.06684193086418372
177,Nongelator,Hy,0.14719066308803008,Hy,0.14719066308803008
178,Nongelator,Hy,0.15819717850644754,Hy,0.15819717850644754
179,Nongelator,Hy,0.18400883481201957,Hy,0.18400883481201957
180,Nongelator,Hy,0.19932757488355607,Hy,0.19932757488355607
181,Nongelator,Hy,0.2167263953164626,Hy,0.2167263953164626
182,Nongelator,Hy,0.017131110738574068,Hy,0.017131110738574068
183,Gelator,Hy,0.008120281801005852,Hy,0.008120281801005852
184,Gelator,Hy,0.0,Hy,0.0
185,Nongelator,Hy,0.022021847669440292,Hy,0.022021847669440292
186,Gelator,Hy,0.012504716656595971,Hy,0.012504716656595971
187,Gelator,Hy,0.003957941200369464,Hy,0.003957941200369464
188,Gelator,Hy,0.1770084593864084,Hy,0.1770084593864084
189,Gelator,Hy,0.1770084593864084,Hy,0.1770084593864084
190,Nongelator,Hy,0.1420767135465582,Hy,0.1420767135465582
191,Nongelator,Hy,0.11117829979999233,Hy,0.11117829979999233
192,Nongelator,Hy,0.17058372103578173,Hy,0.17058372103578173
193,Gelator,Hy,0.03957865980377065,Hy,0.03957865980377065
194,Gelator,Hy,0.986075073588393,Hy,0.986075073588393
195,Nongelator,Hy,0.05377612809370183,Hy,0.05377612809370183
196,Nongelator,Hy,0.6118020857861768,Hy,0.6118020857861768
197,Gelator,Hy,0.594695841868385,Hy,0.594695841868385
198,Nongelator,Hy,0.054145539422575606,Hy,0.054145539422575606
199,Gelator,Hy,0.048230728735638356,Hy,0.048230728735638356
200,Gelator,Hy,1.0000000000000002,Hy,1.0000000000000002
201,Nongelator,Hy,0.8138673008490018,Hy,0.8138673008490018
202,Nongelator,Hy,0.801970084054221,Hy,0.801970084054221
203,Gelator,Hy,0.6118020857861768,Hy,0.6118020857861768
204,Nongelator,Hy,0.7908696288986876,Hy,0.7908696288986876
205,Nongelator,Hy,0.12236334450662945,Hy,0.12236334450662945
206,Nongelator,Hy,0.10655106753478433,Hy,0.10655106753478433
207,Nongelator,Hy,0.09303949068626371,Hy,0.09303949068626371
208,Nongelator,Hy,0.4693900389804205,Hy,0.4693900389804205
209,Nongelator,Hy,0.12121029683765433,Hy,0.12121029683765433
210,Nongelator,Hy,0.26724526126399484,Hy,0.26724526126399484
211,Gelator,Hy,0.43680286846862476,Hy,0.43680286846862476
212,Gelator,Hy,0.6207728503877468,Hy,0.6207728503877468
213,Gelator,TPSA(Tot),0.47265211958089004,TPSA(Tot),0.47265211958089004
214,Gelator,TPSA(Tot),0.3307699702009036,TPSA(Tot),0.3307699702009036
215,Gelator,TPSA(Tot),0.38892627126790347,TPSA(Tot),0.38892627126790347
216,Gelator,TPSA(Tot),0.6646159761607228,TPSA(Tot),0.6646159761607228
217,Gelator,TPSA(Tot),0.27818898394693836,TPSA(Tot),0.27818898394693836
218,Gelator,TPSA(Tot),0.1363068345669517,TPSA(Tot),0.1363068345669517
219,Nongelator,TPSA(Tot),0.19446313563395157,TPSA(Tot),0.19446313563395157
220,Gelator,TPSA(Tot),0.4701528405267711,TPSA(Tot),0.4701528405267711
221,Gelator,TPSA(Tot),0.6646159761607228,TPSA(Tot),0.6646159761607228
222,Gelator,TPSA(Tot),0.4701528405267711,TPSA(Tot),0.4701528405267711
223,Gelator,TPSA(Tot),0.4701528405267711,TPSA(Tot),0.4701528405267711
224,Gelator,TPSA(Tot),0.4701528405267711,TPSA(Tot),0.4701528405267711
225,Gelator,TPSA(Tot),0.5940594059405938,TPSA(Tot),0.5940594059405938
226,Nongelator,TPSA(Tot),0.5940594059405938,TPSA(Tot),0.5940594059405938
227,Nongelator,TPSA(Tot),0.34624627511294814,TPSA(Tot),0.34624627511294814
228,Nongelator,TPSA(Tot),0.34624627511294814,TPSA(Tot),0.34624627511294814
229,Nongelator,TPSA(Tot),0.7227722772277226,TPSA(Tot),0.7227722772277226
230,Nongelator,TPSA(Tot),0.528309141593771,TPSA(Tot),0.528309141593771
231,Nongelator,TPSA(Tot),0.528309141593771,TPSA(Tot),0.528309141593771
232,Nongelator,TPSA(Tot),0.7227722772277226,TPSA(Tot),0.7227722772277226
233,Gelator,TPSA(Tot),0.528309141593771,TPSA(Tot),0.528309141593771
234,Gelator,TPSA(Tot),0.43151014130539245,TPSA(Tot),0.43151014130539245
235,Gelator,TPSA(Tot),0.43151014130539245,TPSA(Tot),0.43151014130539245
236,Gelator,TPSA(Tot),0.43151014130539245,TPSA(Tot),0.43151014130539245
237,Gelator,TPSA(Tot),0.43151014130539245,TPSA(Tot),0.43151014130539245
238,Gelator,TPSA(Tot),0.43151014130539245,TPSA(Tot),0.43151014130539245
239,Gelator,TPSA(Tot),0.43151014130539245,TPSA(Tot),0.43151014130539245
240,Gelator,TPSA(Tot),0.43151014130539245,TPSA(Tot),0.43151014130539245
241,Gelator,TPSA(Tot),0.6259732769393443,TPSA(Tot),0.6259732769393443
242,Gelator,TPSA(Tot),0.6259732769393443,TPSA(Tot),0.6259732769393443
243,Gelator,TPSA(Tot),0.6259732769393443,TPSA(Tot),0.6259732769393443
244,Gelator,TPSA(Tot),0.6259732769393443,TPSA(Tot),0.6259732769393443
245,Nongelator,TPSA(Tot),0.3127943862347399,TPSA(Tot),0.3127943862347399
246,Nongelator,TPSA(Tot),0.3127943862347399,TPSA(Tot),0.3127943862347399
247,Nongelator,TPSA(Tot),0.3127943862347399,TPSA(Tot),0.3127943862347399
248,Nongelator,TPSA(Tot),0.33970969912525206,TPSA(Tot),0.33970969912525206
249,Nongelator,TPSA(Tot),0.33970969912525206,TPSA(Tot),0.33970969912525206
250,Nongelator,TPSA(Tot),0.33970969912525206,TPSA(Tot),0.33970969912525206
251,Nongelator,TPSA(Tot),0.33970969912525206,TPSA(Tot),0.33970969912525206
252,Nongelator,TPSA(Tot),0.33970969912525206,TPSA(Tot),0.33970969912525206
253,Nongelator,TPSA(Tot),0.3891185235028355,TPSA(Tot),0.3891185235028355
254,Gelator,TPSA(Tot),0.3891185235028355,TPSA(Tot),0.3891185235028355
255,Gelator,TPSA(Tot),0.3891185235028355,TPSA(Tot),0.3891185235028355
256,Nongelator,TPSA(Tot),0.3891185235028355,TPSA(Tot),0.3891185235028355
257,Gelator,TPSA(Tot),0.3891185235028355,TPSA(Tot),0.3891185235028355
258,Gelator,TPSA(Tot),0.3891185235028355,TPSA(Tot),0.3891185235028355
259,Gelator,TPSA(Tot),0.5733922906853791,TPSA(Tot),0.5733922906853791
260,Gelator,TPSA(Tot),0.5733922906853791,TPSA(Tot),0.5733922906853791
261,Nongelator,TPSA(Tot),0.5733922906853791,TPSA(Tot),0.5733922906853791
262,Nongelator,TPSA(Tot),0.8997404594828414,TPSA(Tot),0.8997404594828414
263,Nongelator,TPSA(Tot),0.44948572527155617,TPSA(Tot),0.44948572527155617
264,Gelator,TPSA(Tot),0.40507545900221065,TPSA(Tot),0.40507545900221065
265,Gelator,TPSA(Tot),0.9999999999999999,TPSA(Tot),0.9999999999999999
266,Nongelator,TPSA(Tot),0.8396616360665191,TPSA(Tot),0.8396616360665191
267,Nongelator,TPSA(Tot),0.6646159761607228,TPSA(Tot),0.6646159761607228
268,Gelator,TPSA(Tot),0.7533403825819475,TPSA(Tot),0.7533403825819475
269,Nongelator,TPSA(Tot),0.8396616360665191,TPSA(Tot),0.8396616360665191
270,Gelator,TPSA(Tot),0.9283860424877436,TPSA(Tot),0.9283860424877436
271,Gelator,TPSA(Tot),0.8359127174853408,TPSA(Tot),0.8359127174853408
272,Nongelator,TPSA(Tot),0.7202729981736037,TPSA(Tot),0.7202729981736037
273,Nongelator,TPSA(Tot),0.7802556954724597,TPSA(Tot),0.7802556954724597
274,Gelator,TPSA(Tot),0.8287032586753821,TPSA(Tot),0.8287032586753821
275,Nongelator,TPSA(Tot),0.9443429779871192,TPSA(Tot),0.9443429779871192
276,Nongelator,TPSA(Tot),0.37816014611169846,TPSA(Tot),0.37816014611169846
277,Nongelator,TPSA(Tot),0.37816014611169846,TPSA(Tot),0.37816014611169846
278,Nongelator,TPSA(Tot),0.37816014611169846,TPSA(Tot),0.37816014611169846
279,Nongelator,TPSA(Tot),0.38892627126790347,TPSA(Tot),0.38892627126790347
280,Nongelator,TPSA(Tot),0.0,TPSA(Tot),0.0
281,Nongelator,TPSA(Tot),0.41449581851389017,TPSA(Tot),0.41449581851389017
282,Gelator,TPSA(Tot),0.4701528405267711,TPSA(Tot),0.4701528405267711
283,Gelator,TPSA(Tot),0.6646159761607228,TPSA(Tot),0.6646159761607228
