,Mean,Se,X
0,0.6787619047619051,0.0139774590881117,5
1,0.6830476190476191,0.0143579829880456,6
2,0.6815238095238096,0.0156931395319695,7
3,0.6785714285714287,0.0150385831151529,8
4,0.6870476190476191,0.0148351485551396,9
5,0.6815238095238095,0.015002007088362,10
6,0.6772380952380952,0.0151961144600782,11
7,0.6885714285714286,0.0153681618316947,12
8,0.6825714285714288,0.016240670713846,13
9,0.6924761904761907,0.0169500399667754,14
10,0.6969523809523812,0.0164611363467457,15
11,0.692666666666667,0.016142326472837,16
12,0.6911428571428573,0.0160733469362617,17
13,0.6981904761904764,0.0165566208243618,18
14,0.6981904761904764,0.0163845280335238,19
15,0.6966666666666669,0.0169464423936399,20
16,0.7008571428571431,0.0168543401849132,21
17,0.6966666666666669,0.0173199625736469,22
18,0.7023809523809524,0.0164515597157955,23
19,0.7094285714285715,0.0161947473357827,24
20,0.7066666666666667,0.0160874405832633,25
21,0.6996190476190478,0.0158060810938855,26
22,0.6995238095238097,0.0156799769771685,27
23,0.703714285714286,0.0162489529092652,28
24,0.6951428571428575,0.016205634049796,29
25,0.6994285714285716,0.0165883572231873,30
26,0.6951428571428573,0.0168907759418375,31
27,0.6951428571428573,0.0167221224034808,32
28,0.6951428571428573,0.0167221224034808,33
29,0.6950476190476194,0.0162347356452577,34
30,0.7021904761904765,0.0161641631805605,35
31,0.7021904761904765,0.0161641631805605,36
32,0.7021904761904765,0.0161641631805605,37
33,0.7036190476190479,0.0161043147757541,38
34,0.700761904761905,0.0162202962233801,39
35,0.6994285714285717,0.0160675695935316,40
