ID,PCA1,PCA2,GEL
Ma_2019_A,0.0827401391728841,-0.7673967325416444,Gelator
Ma_2019_U,-0.12156373121487103,0.774295812945564,Gelator
Ma_2019_C,0.6369322212341724,-0.23243250822347475,Gelator
Ma_2019_G,-0.42493250981979686,-0.44655789702100285,Gelator
Ma_2019_dA,0.1900135917449896,-0.5872588941119845,Gelator
Ma_2019_T,-0.46618452265164284,0.5868505348240367,Gelator
Ma_2019_dC,0.5801086006930043,-0.1424561146177927,Nongelator
Ma_2019_dG,-0.323772317962943,-0.17804961502933309,Gelator
Zhao_2016_1,-0.34864628472593273,-0.4148627559800361,Gelator
Zhao_2016_2,-0.24701573585864256,-0.14913523523965685,Gelator
Zhao_2016_3,-0.2179906898616457,-0.3028908887607514,Gelator
Zhao_2016_6,-0.28346158324493187,-0.3438828250488802,Gelator
Zhao_2017_2,-0.28066438531671584,-0.18145765168876526,Gelator
Zhao_2017_3,-0.41627826900611464,-0.27615362527988213,Nongelator
Zhao_2017_5,0.2678546236333531,0.46857815038181,Nongelator
Zhao_2017_6,-0.08364118760117056,0.27337505410057517,Nongelator
Wang_2022_a,0.10092654819930487,-0.9303155849764118,Nongelator
Wang_2022_b,0.2591313287253883,-0.6582568808340848,Nongelator
Wang_2022_c,0.2842764954443474,-0.8192439233888342,Nongelator
Wang_2022_d,0.10092654819930465,-0.9303155849764114,Nongelator
Wang_2022_e,0.28427649544434735,-0.8192439233888342,Gelator
Park_2003_1,-1.3120712883119285,0.29277569292726524,Gelator
Park_2003_2,-1.3148233469945019,0.33799721111648484,Gelator
Park_2003_3,-1.3462808150869767,0.2562773969841565,Gelator
Park_2003_4,-1.4313609529356048,0.31197315136671455,Gelator
Park_2003_5,-1.2564069580283423,0.28483854094405775,Gelator
Park_2003_6,-1.3253562432350618,0.3285140267753017,Gelator
Park_2003_7,-1.2063272803530278,0.4042723786523066,Gelator
Park_2007_2a,-1.2788486527788119,0.2853624016459899,Gelator
Park_2007_2b,-1.3604635177275586,0.3297102127250917,Gelator
Park_2007_2c,-1.2679022993823463,0.34098494240111366,Gelator
Park_2007_2d,-1.1500613825846355,0.4256173359521838,Gelator
Skilling_2018_5a,1.9785664711550797,0.07595764396977717,Nongelator
Skilling_2018_5b,1.9006371107980866,0.08702064798472317,Nongelator
Skilling_2018_5c,1.745826673576911,-0.13436181393591645,Nongelator
Skilling_2018_6a,2.123644608822633,0.3290481271387648,Nongelator
Skilling_2018_6b,2.107765119510208,0.3306479606405211,Nongelator
Skilling_2018_6c,2.05406404289039,0.3345772626464878,Nongelator
Skilling_2018_6d,2.0076513051737184,0.33785740133490255,Nongelator
Skilling_2018_6e,1.860045164157409,0.17427211471712073,Nongelator
Nuthanakanti_2020_3a,-0.1337647893075932,0.9340861351329275,Nongelator
Nuthanakanti_2020_3b,-0.11006866800052094,0.9350954688488967,Gelator
Nuthanakanti_2020_3c,-0.0912180920878808,0.9353706290408916,Gelator
Nuthanakanti_2020_4a,0.10129206767952974,0.9887520816323563,Nongelator
Nuthanakanti_2020_4b,0.12505581687007947,0.9873109760470657,Gelator
Nuthanakanti_2020_4c,0.1436699323025991,0.9856367744376314,Gelator
Seela_2011_1,-0.07219730736728383,-0.7832272901721375,Gelator
Seela_2011_2,-0.13095355803403072,-0.6276797345789225,Gelator
Seela_2011_3,0.50732504904684,-0.21372718154814488,Nongelator
Seela_2011_4,0.3249200815926953,-0.40483290110568154,Nongelator
Seela_2011_13,-0.04597880325773806,-0.49652645937454176,Nongelator
Jung_2005,-1.2048528423176976,0.2022224363277911,Gelator
Sreenivasachary_2005,-0.563613997946858,-0.5158742764695865,Gelator
Buerkle_2009_b,-0.27769115308643993,-0.4282518045605924,Nongelator
Buerkle_2012_8BrG,-0.13680908460334582,0.15740100902074383,Nongelator
Buerkle_2012_8OMeG,-0.47532205794130805,-0.5649121438279104,Gelator
Buerkle_2012_8BrTAcG,-0.06293720198516002,-0.018769525128920342,Nongelator
Buerkle_2012_8OMeTAcG,-0.1678689566980446,-0.4831271606367633,Gelator
Xiao_2018_2,0.08860766362691035,-0.7453493920686147,Gelator
Xiao_2018_4,0.08727897335757404,-0.773884269627424,Nongelator
Xiao_2018_5,0.16894967325656265,-0.7580219041349183,Nongelator
Xiao_2019_2,-0.7529091765944519,-0.6091264632742723,Gelator
Xiao_2019_3,-0.48992332184034937,-0.5276252600447209,Nongelator
Jia_2018_UC8,0.1578827620047934,1.371057700910733,Nongelator
Jia_2018_UC12,0.2890657166176881,1.4368127851835157,Nongelator
Jia_2018_UC16,0.37854920020459826,1.4778316288069295,Nongelator
Tang_2019_ArabinoC,0.6369322212341721,-0.23243250822347444,Nongelator
Tang_2019_DideoxyC,0.9915473971515606,0.14501065911498148,Nongelator
Peters_2014_3,-0.3223538770636683,-0.38102784839306675,Nongelator
Plank_2016_2,0.36098570911423583,-0.6021658114450221,Gelator
Du2021_L_G,-0.4249325098197969,-0.4465578970210031,Gelator
