ID,PCA1,PCA2,PCA3,Hydrogel-forming ability
Ma_2019_A,-8.110368786969087,3.023317206166274,0.2286220685193278,Gelator
Ma_2019_U,-9.203058093508771,-5.161289391950897,4.303566901513374,Gelator
Ma_2019_C,-9.905786569224992,-4.1622738287099175,3.496027876721777,Gelator
Ma_2019_G,-7.421787759804251,1.5932811920374585,-1.3695424362940019,Gelator
Ma_2019_dA,-8.888999801491641,3.04021468787442,2.050822300409186,Gelator
Ma_2019_T,-8.368454761785555,-4.689653325285418,5.653081587757837,Gelator
Ma_2019_dC,-10.857580114745339,-4.3733755756141175,5.903174532047179,Nongelator
Ma_2019_dG,-8.142137419460433,1.512438980637933,0.5520263923782232,Gelator
Zhao_2016_1,-7.145470453663548,-0.19590530551397206,-0.3413709835274068,Gelator
Zhao_2016_2,-7.868548658269852,-0.36878170387799836,1.6146224027639648,Gelator
Zhao_2016_3,-7.0565903007092485,-1.5994081877371928,-2.160695655328845,Gelator
Zhao_2016_6,-7.329722680349283,0.19614728248714772,-3.179755392850492,Gelator
Zhao_2017_2,-8.081676998517246,0.05721746244653092,1.2872788336349446,Gelator
Zhao_2017_3,-8.246856595176821,1.5582042460436138,0.41595679921289014,Nongelator
Zhao_2017_5,-7.250460247338897,-0.5982421654222161,2.700401227669724,Nongelator
Zhao_2017_6,-7.527440281186727,1.1651660082367248,1.4683933304405792,Nongelator
Wang_2022_a,-7.657793945520634,3.800875081877484,-1.1780297492040097,Nongelator
Wang_2022_b,-8.331292159750655,3.7938278204126377,0.6904169670551681,Nongelator
Wang_2022_c,-7.506201055404059,2.308336947040377,-3.113549799222124,Nongelator
Wang_2022_d,-7.657793945520634,3.800875081877484,-1.1780297492040097,Nongelator
Wang_2022_e,-7.506201055404059,2.308336947040377,-3.113549799222124,Gelator
Park_2003_1,3.685821056636051,2.688522859501198,2.9088759859863473,Gelator
Park_2003_2,4.90359435512265,2.8349529299658123,2.6117245338364734,Gelator
Park_2003_3,4.677078249818261,2.693981074932326,2.634757493282206,Gelator
Park_2003_4,4.913992104178341,2.697677349997572,2.7469703348946535,Gelator
Park_2003_5,5.778489205509719,2.76275827902223,2.5669381819709045,Gelator
Park_2003_6,5.876662257447175,2.5334335651074364,2.8149421569026067,Gelator
Park_2003_7,7.8047668271846335,2.1895538962839396,2.9370113533480766,Gelator
